"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,Titel,Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Kommentar zur Signatur,Stadium der Werkgenese,Autographe Funktion,"intere Sicherung vormaliger ""Typ""-Einträge",Übergeordnete Quelle,Untergeordnete Quelle,Übergeordnete Quelle zweiter Ordnung/ Untergeordnete Quelle zweiter Ordnung,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Kommentarfeld zu: Titel (der Quelle) Titelblatt | Umschlag,Kopftitel,Kommentarfeld zu: Titel (der Quelle) Notentext,Besetzung,Tempoangabe,Sprachcode (falls mehrere mit | abtrennen),Text-Incipit,Widmung diplomatisch,Kommentar zur Widmung,Datierung diplomatisch auf Quelle,Datierung auf Quelle maschinenlesbar,Datierung ermittelt maschinenlesbar,Datierung Kommentar,Datierung Ort nach GND,Datierung Ort ermittelt,GND Ort,Schrift,Umfang,Papier,Bezug zu Druck: Verlags-GND,Bezug zu Druck: Plattennr.,Provenienz,Provenienz (diplomatisch),weitere Provenienzangabe,Beschreibung physischer Merkmale,Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar,Kommentar intern,Digitalisat,Bearbeiter,,,,
,,,,D-WRgs,GSA 60/Z 18,,,a) Skizze,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,,"S. 3, 1 Akkolade",,,,,,,,,Eintaktige Skizze in A-Dur,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,b) Skizze,,,,,untergeordnete Quelle,,,,,,Kl,,,,,,,,,,,,,,"S. 3, 1 Akkolade",,,,,,,,,Zweitaktige Skizze in Es-Dur,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,c) Skizze,,,,,untergeordnete Quelle,,,,Trio. | 2 des harmonies poetiques et religieuses,,"Vl, Vla, Vlc, Kl",Molto agitato e passionato assai,,,,,,,,,,,,,S. 5-7,,,,,,,,,"Liszt streicht den Beginn der Skizze durch und beginnt darunter noch einmal. Auf Seite 5 befinden die ersten 6 Takte der Skizze, die folgenden 20 Takte befinden sich auf Seite 6, von diesen sind Takt 2-3 und 15-17 gestrichen. Auf Seite 7 wird die Skizze mit 17 Takten fortgeführt, diese sind jedoch vollständig gestrichen.",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze,,,,x,,,,,Morceaux Caractéristiques,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 1 Seite Notentext, 1 Leerseite","Hochformat, ??? x ??? mm, 12 Notenzeilen (Cöln, bei Eck & Comp. ",,,,,,,,Eine achttaktige Skizze vertelit auf drei Akkoladen in c-Moll,,,,BV,,,,
,,R 452,Malédiction,D-WRgs,GSA 60/Z 18,,,Skizze,,,,x,,,,,,,Kl,Lento,,,,,,,,,,,,Liszt (schwarze Tinte),"2 Blatt zu 1 Bogen, 2 Seiten Notentext, 2 Leerseiten","Querformat, ??? x ??? mm, 12 Notenzeilen, gedruckt (Cöln, bei Eck & Comp.)",,,,,,,,"Skizze von früher Fassung des Beginns von ""Malédiction"" (R452), davon 17 Takte auf Seite 11. Takt 14-15 streicht Liszt. Möglicherweise gehören die umseitigen 8 Takte ebenfalls zu diesem Stück.. ",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18 (6),,,"Gedicht, Skizzen",,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,,"1 Blatt, 2 Seiten Notentext bzw. Text","Querformat, ??? x ??? mm, 15 Notenzeilen, handrastriert",,,,,,"Längsfalz, Blatt am unteren Rand abgeschnitten",,,"laut Mueller 1986, S. 185f. herausgelöst aus GSA 60/N 5",,,BV,,,,
,,,Penseroso,D-WRgs,GSA 60/Z 18,,,Gedicht,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,Carolyne von Sayn-Wittgenstein (schwarze Tinte),"S. 15, linke Hälfte",,,,,,,,,"Die von Carolyne von Sayn-Wittgenstein abgeschriebenen Verse stammen aus Victor Hugos ""Les feuilles d'autonome"", auf denenLiszts Symphonische Dichtung ""Was man auf dem Berge hört (Ce qu'on entend sur la montagne)"" beruht. Sayn-Wittgenstein notiert die Dichtung von dem Vers """"Et je rêvais longtemps, contemplant tour à tour"" bis ""Le chant de la nature au cri du grenre humain?"".",,,,BV,,,,
,,R 417,Mazeppa,D-WRgs,GSA 60/Z 18,,,Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (schwarze Tinte),"S. 15, rechte Hälfte",,,,,,,,,Skizze in zwei Systemen zu je drei Notenzeilen,"Laut Short/Howard Skizze zur Coda der Symphonischen Dichtung ""Mazeppa"".",,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,a) Skizze,,,,,untergeordnete Quelle,,,,Mazeppa,,,Moderato energico,,,,,,,,,,,,Liszt (sepia Tinte),S. 16,,,,,,,,,"Die Skizze umfasst zwei Notenzeilen, wobei die untere Notenzeile anscheinend erst nachträglich zu den letzten beiden Takten hinzukommt. Zum ersten Takt ist in ihr der Name ""Mazeppa"" notiert.",ungarische Melodie,"prüfen, um was es sich handelt",,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,b) Skizze,,,,,untergeordnete Quelle,,,,,,,Vivace,,,,,,,,,,,,Liszt (schwarze Tinte),S. 16,,,,,,,,,"Die Notenskizze besteht aus 1 Notenzeile, 1 Notenzeile, 1 System von 3 Notenzeilen, 1 System von 3 Niotenzeilen.",ungarische Melodien,"prüfen, um was es sich handelt",,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Notizen (keine Noten),,,,,,,,,,,,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blattfragment, 1 Seite Text, 1 Leerseite","ca. ??? x ??? mm, 3 Notenzeilen handrastriert",,,,,,"Ein Eckstück Papier, an oberer und rechter Seite abgerissen (von beschriebener Seite aus betrachtet).",,Enthält von Liszt notierte Zahlenkolonnen.,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18 (7),,,Skizzen,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,,"1 Blatt, 2 Seiten Notentext","Querformat, ??? x ??? mm, 18 Notenzeilen, handrastriert",,,,,,,,"Vermerk unten auf Seite 19: ""Geschenk von Frl. Helene Raff 1903""","laut Mueller 1986, S. 185f. herausgelöst aus GSA 60/N 5",,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,a) Skizze,,,,,untergeordnete Quelle,,,,,,,Deciso,,,,,,,,,,,,Liszt (sepia Tinte),"S. 19, 1 Notenlinie",,,,,,,,,achttaktige Skizze in f-Moll,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,b) Skizze,,,,,untergeordnete Quelle,,,,as moll,,,Andante [?],,,,,,,,,,,,Liszt (sepia Tinte),"S. 19, 1 Notenlinie",,,,,,,,,fünftaktige Skizze in as-Moll,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,c) Skizze,,,,,untergeordnete Quelle,,,,Harmonie [?],,,,,,,,,,,,,,,Liszt (schwarze Tinte),"S. 19, 5 Akkoladen",,,,,,,,,"Skizzen von 5 Akkoladen, einige Stgreichungen",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,,,,,,untergeordnete Quelle,,,,Mazeppa | Kiew,,,,,,,,,,,,,,,Liszt (schwarze Tinte),"S. 20, 3 Akkoladen",,,,,,,,,Skizze von 3 Akkoladen,,,,BV,,,,
,,,Mazeppa,D-WRgs,GSA 60/Z 18,,,,,,,,untergeordnete Quelle,,,,Chant du Berceau,,,,,,,,,,,,,,,Liszt (schwarze Tinte),"S. 20, 2 Akkoladen",,,,,,,,,zwei Skizzen (je eine Akkolade),nicht identisch mit R 58,,,BV,,,,
,,,Chant du Berceau,D-WRgs,GSA 60/Z 18 (8),,,Skizzen,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,,"1 Blatt, 2 Seiten Notentext","Querformat, ??? x ??? mm, 18 Notenzeilen, handtrastriert",,,,,,,,"Vermerk unten auf Seite 19: ""Geschenk von Frl. Helene Raff 1903""","laut Mueller 1986, S. 185f. herausgelöst aus GSA 60/N 5",,,BV,,,,
,,"R 145,1",Mädchens Wunsch,D-WRgs,GSA 60/Z 18,,,a) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (Bleistift),"S. 21, 2 Notenzeilen",,,,,,,,,"Liszt hat die Melodie des Liedes ""Mädchens Wunsch"" von Chopin notiert.",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,b) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,"Liszt (sepia Tinte, Bleistift)","S. 21, 5 Notenzeilen bzw. Akkoladen",,,,,,,,,"Ungarisches Thema, die erste Akkolade ist mit Tinte geschrieben, die übrigen Notenzeilen mit Bleistift.",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,a) Skizze,,,,,untergeordnete Quelle,,,,Ce qu'on on entand [sur la montagne],,,,,,,,,,,,,,,Liszt (schwarze Tinte),"S. 22, 4 Notensysteme",,,,,,,,,"Die zweite Akkolade ist durchgestrichen.
An der Skizze ist keine Beziehung zur Symphonischen Dichtung ""Was man auf dem Berge sieht"" erkennbar.",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizzen,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,zS (schwarze Tinte),"2 Blatt zu 1 Bogen, 4 Seiten Notentext","Hochformat, ??? x ??? mm, 14 Notenzeilen, handrastriert",,,,,,,,"Das Munskript enthält eine Abschrift des ""Dies irae"" und des ""De profundis"" von der Hand eines zS. Erst auf der letzten Seite des Bogens unterhalb der Abschrift notiert Liszt seine zwei kleinen Skizzen.",zu dieser Quelle siehe auch im Tabellenblatt VII unter GSA/60 18,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,a) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (sepia Tinte),"S. 26, 2 Notenzeilen",,,,,,,,,Skizze einer ungarischen Melodie,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,b) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (sepia Tinte),"S. 26, 1 Notenzeile",,,,,,,,,Skizze einer ungarischen Melodie,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze,,,,x,,,,,,,,,,,,,,,,,,,,Liszt (blauer Stift),"1 Blatt, 1 Seite Notentext, 1 Leerseite (S. 41-42)","Querformat, ??? x ??? mm, 10 Notenzeilen, handrastriert",,,,,,unterer Rand abgeschnitten,,zweitaktige Skizze,,,,BV,,,,
,,,Nocturne in g-Moll (Chopin),D-WRgs,GSA 60/Z 18,,,Skizze,,,,x,,,,,,,,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 1 Seite Notentext, 1 Leerseite (S. 45-46)","Querformat, ??? x ??? mm, 3 Notenzeilen, handrastriert",,,,,,"unterer Rand abgeschnitten, rechter Rand abgerissen",,"Zweitaktige Skizze, die die Takte 77-78 aus Chopins Nocturne in g-Moll, op. 15,3 wiedergibt. Rechts neben den Noten befindt sich ein (archivarischer) Vermerk: ""Franz Liszt's Handschrift"" ",,,,BV,,,,
,,R 391,Tu es Petrus,D-WRgs,GSA 60/Z 18,,,Fragment,,,,x,,,,,,,Org,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 2 Seiten Notentext (S. 47-48)","Querformat, ??? x ??? mm, 2 Notenzeilen, handrastriert",,,,,,oberer und unterer Rand abgeschnitten,,"Der Streifen Papier mit der Notation zweier Abschnitte des Pedals zur Orgel-Fassung von ""Tu es Petrus"" war vermutlich ursprünglich in das Autograph geklebt, worauf die beiden runden Flecken am linken rand von S. 47 hinweisen.
- S. 47: Die beiden Notenzeilen sind überschrieben mit ""Pedal zu Seite 4, 1ter Takt und bis zu Ende"". Es handelt sich um das Org-Pedal in Takt 96-130.
- S. 48: Die beiden Notenzeilen sind überschrieben mit ""Pedal Seite 2, Takt 15, 16, etc."" Es handelt sich um das Org-Pedal in Takt 51-67.
Den Taktangaben liegt zugrunde die Ausgabe in: Franz Liszt: Sämtliche Orgelwerke, Bd. III, Hg.: Martin Haselböck", ,Das Blatt liegt falsch herum. Die jetzige Seite 47 ist Seite 48 und vice versa (die Seitenzahlen aus dem Inhaltsverzeichnis von Howard/Short zugrunde gelegt). ,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze,,,,x,,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),"2 Blatt zu 1 Bogen, 1 Seite Notentext, 3 Leerseiten (S. 49-52)","Querformat, ??? x ??? mm, 12 Notenzeilen, gedruckt (Cöln, bei Eck & Comp.)",,,,,,,,"Nicht zu Ende geführtes Klavierstück in es-Moll. Über dem Beginn des Stücks steht der Ausführungshinweis ""main gauche"".",,,,BV,,,,
,,,Ave Maria II,D-WRgs,GSA 60/Z 18,,,"Fragment, Korrekturblatt",,,,x,,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 1 Seite Notentext, 1 Leerseite (S. 59-60)","Hochformat, ??? x ??? mm, 12 Notenzeilen, handrastriert",,,,,,,,"Darüber, zu welchem Autograph oder zu welcher Abschrift das Korrekturblatt gehört, ob diese überhaupt erhalten ist, besthet keine Klarheit. Gottschalg (blauer Stift) beglaubigt auf dem Blatt, dass es von Liszts Hand stammt. 
Nach den in zwei Akkoladen geschriebenen 10 Takten fügt Liszt den Hinweis an, ""weiter letzte Seite 5""",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,"Fragment, Korrekturblatt",,,,x,,,,,,,Kl,,,,,,,,,,,,,"Liszt (schwarze Tinte, blauer Stift)","1 Blatt, 1 Seite Notentext, 1 Leerseite (S. 61-62)","Querformat, ??? x ??? mm, 12 Notenzeilen, handrastriert",,,,,,,,"Liszt notiert oben auf dem Blatt ""Seite 10 Vide"", gibt als den Ort an, an dem die notierten Passagen eingefügt werden sollen.
Die erste Akkolade betrifft lediglich eine Änderung der linken Hand. Die zweite Akkolade schließt nicht unmittelbar an die erste an und notiert sind linke und rechte Hand.",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizzen,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,"Liszt (schwarze Tinte, sepia Tinte)","3 Blatt, 4 Seiten Notentext, 2 Leerseiten (S. 63-68)","Hochformat, ??? x ??? mm, 22 Notewnzeilen, handrastriert; Hochformat, ??? x ??? mm, 10 Notenzeilen, handrastriert",,,,,,Das letzte der drei Blatt ist am obren Rand abgeschnitten.,,,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,a) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (sepia Tinte),"S. 63, 1 Akkolade",,,,,,,,,Fünftaktige Skizze,,,,BV,,,,
,,R 425,Faust-Symphonie,D-WRgs,GSA 60/Z 18,,,b) Skizze,,,,,untergeordnete Quelle,,,,F.[aust],,,,,,,,,,,,,,,Liszt (sepia Tinte),"S. 63, 2 Akkoladen",,,,,,,,,"Skizze von 13 Takten. Zur ""Faust-Symphonie"" gehörig (1. Teil, Buchstabe S, vgl MW 1,2 (8-9), S. 36). ",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,c) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (sepia Tinte),"S. 63, 4 Akkoladen",,,,,,,,,"Skizze von 28 Takten, vorangestellt hat Liszt den Hinweis: ""Besser in 3/4 C"".",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,d) Skizze,,,,,untergeordnete Quelle,,,,,,,Andante,,,,,,,,,,,,Liszt (sepia Tinte),"S. 63, 2 Akkoladen",,,,,,,,,Skizze von 12 Takten in A-Dur,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,a) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (sepia Tinte),"S. 64, 2 Notensysteme à 4 Zeilen und 1 Akkolade",,,,,,,,,Skizze von 21 Takten,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,b) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (schwarze Tinte),"S. 64, 1 Akkolade",,,,,,,,,Dreitaktige Skizze in c-Moll,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,c) Skizze,,,,,untergeordnete Quelle,,,,Nocturne,,,,,,,,,,,,,,,Liszt (sepia Tinte),"S. 64, 2 Akkoladen",,,,,,,,,Neuntaktige Skizze in f-Moll,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,e) Skizze,,,,,untergeordnete Quelle,,,,Valse,,,,,,,,,,,,,,,Liszt (sepia Tinte),"S. 64, 2 Akkoladen",,,,,,,,,Zwölftaktige Skizze,,,,BV,,,,
,,R 425,Faust-Symphonie,D-WRgs,GSA 60/Z 18,,,f) Skizze,,,,,untergeordnete Quelle,,,,,,,Largo,,,,,,,,,,,,Liszt (sepia Tinte),"S. 64, 1 Notensystem",,,,,,,,,"Viertaktige Skizze. Zur Faust-Symphonie gehörig (u.a. 1. Teil, Buchstabe Q ff., vgl. MW 1,2 (8-9), S. 25ff., notengetreu bei Buchastabe Q).",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,"Liszt (sepia Tinte, schwarze Tinte, Bleistift)",S. 65,,,,,,,,,"Die Skizze ist seitenfüllend und stark überarbeitet. Die erste Schicht des Notentextes zeichnet sich durch einen sehr hellen Tintenfarbton aus. spätere Korrekuren und Hinzufügungen nimmt Liszt mit erheblich dunklerer Tinte und Bleistift vor. Die drei Schichten sind sehr gut auseinanderzuhalten. Die Seite beinhaltet 7 Notensysteme von denen das unterste aus im Korrekturgang hinzugekommenen Ergänzungen besteht. Das sechste System ist vollständig gestrichen, das fünfte bis auf einen Takt, an den das während der Überarbeitung hinzukomponierte siebte System anschließt, wobei dessen erste drei Takte ihrerseits gestrichen sind. Vor dem fünften System notiert Liszt ""ossia"". ",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,a) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,16 Juilett,xxxx-07-16,,,,,,Liszt (schwarze Tinte),"S. 67, 1 Notenzeile",,,,,,,,,"siebentaktige Skizze, die in deutlichem Bezug zu den beiden übrigen auf dem Blatt befindlichen Skizzen steht. ",,,,BV,,,,
,,,,D-WRgs,"GSA 60/Z 18
",,,b) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (schwarze Tinte),"S. 67, 1 Notenzeile",,,,,,,,,"zweitaktige Skizze, zu den beiden übrigen auf der Seite befindlichen Skizzen in engem Zusammenhang steht.",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,c) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (schwarze Tinte),"S. 67, 1 Notenzeile",,,,,,,,,"zweitaktige Skizze, zu den beiden übrigen auf der Seite befindlichen Skizzen in engem Zusammenhang steht.",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizzen,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)","1 Blatt, 2 Seiten Notentext (S. 81-82)","Hochformat, ??? x ??? mm, 24 Notenzeilen, handrastriert",,,,,,,,,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,a) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (schwarze Tinte),"S. 81, 3 Akkoladen",,,,,,,,,"Skizze von 18 Takten, die mit der auf der Seite folgenden Skizze zusammengehörig ist. ",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,b) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (schwarze Tinte),"S. 81, 2 Akkoladen, 1 Notenzeile",,,,,,,,,Skizze in E-Dur von 11 Takten. Die mittlere Notenzeile enthält eine Ossia-Stimme für den ersten Takt der Skizze.,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,c) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (schwarze Tinte),"S. 81, 1 Notenzeile",,,,,,,,,Im wesentlichen harmonische Skizze von 8 Taktten,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,a) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (Bleistift),"S. 82, 3 Notenzeilen",,,,,,,,,Die Skizze in Es-Dur könnte an die Skizzen auf der vorhergehenden Seite anknüpfen.,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,b) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (Bleistift),"S. 82, 1 Notenzeile",,,,,,,,,Kurze Melodieskizze.,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,Skizzen,,,,x,übergeordnete Quelle,,,,,,,,,,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 1 Seite Notentext, 1 Leerseite (S. 85-86)","Querformat, ??? x ??? mm, 24 Notenzeilen, handrastriert",,,,,,,,Die drei Skizzen scheinen in den Kontext der geistlichen Musik Liszts zu gehören. ,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,a) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,,S. 85,,,,,,,,,"Skizze von 20 Takten in B-Dur, davon zwei Takte gestrichen.",,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,b) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,,S. 85,,,,,,,,,Skizze von sieben Takten.,,,,BV,,,,
,,,,D-WRgs,GSA 60/Z 18,,,c) Skizze,,,,,untergeordnete Quelle,,,,,,,,,,,,,,,,,,,,S. 85,,,,,,,,,"Skizze von 12 Takten in Es-Dur, davon fünf Takte gestrichen.",,,,BV,,,,
