"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzervermerk (intern),Ausgabeform (Typ),Funktion,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag und/oder Titelblatt (diplomatisch),Schreiber Titelei,Kopftitel,Schreiber Kopftitel,Besetzung (normiert),Tempoangabe (normiert),Metronomangabe,Sprachcode,Text-Incipit (diplomatisch),Widmung (diplomatisch),Datierung (diplomatisch),Datierung (maschinenlesbar),Ort (normiert),GND-Nr. Ort,Schrift (fremde Hand und Liszt),Umfang,Papiermaß,Wasserzeichen (intern),Verlag (normiert),Bezug zu Druck: Verlags-GND-Nr.,Bezug zu Druck: Plattennr.,Provenienz Station 1,Provenienz Station 2,Provenienz Station 3,Provenienz Station 4,Datierung ermittelt (maschinenlesbar),Ort ermittelt (normiert),Ort ermittelt GND-Nr.,Beschreibung physischer Merkmale / Zustand der Quelle (intern), Inhalt (interner Vermerk),"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.) (intern)",Ausgabeform,Quellenautorität (für die Abbildung der Reiterstruktur in der Datenbank)
,1001306080,R 609a,Wer nie sein Brot mit Tränen aß,D-WRgs,GSA 60/D 5,,,Partitur,korrigierte Stichvorlage,,,1001305891,,,"""Wer nie sein Brod in Thränen ass,"" | Gedicht von Goethe",,"Mez, Kl",Andante mesto,,Deutsch,Wer nie sein Brod in Thränen ass,,,,,,,S. 21-25 (von 18 Blatt),,,,,,,,,,,,,,,"Liszt ergänzt mit schwarzer Tinte Stimmen- und Tempoangaben sowie einige Angaben zu Dynamik und Phrasierung. Auf S. 24 streicht Liszt mit Rötel und schwarzer Tinte 3 kürzere Stelle im Notentext, die er mit entsprechenden Verweiszeichen am Rand neu notiert. Zusätzlich trägt er auf der Seite Textkorrekturen ein und notiert im 3. System für die Textstelle ""Denn jede Schuld rächt sich auf Erden"" ein 4-taktiges Ossia. Auf S. 25 notiert Liszt teilweise den Notentext selbst (s. 7 Schlusstakte).",,"Kopftitel: Titel unterstrichen, Zusatz ""Gedicht von Goethe."" mit Bleistift",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191279,URoe,,,
,1001306081,R 610a,Über allen Gipfeln ist Ruh',D-WRgs,GSA 60/D 5,,,Partitur,korrigierte Stichvorlage,,,1001305891,,,"""Ueber allen WGipfeln ist Ruh"" | Gedicht von Goethe",,"Mez/T, Kl",Langsam,,Deutsch,Ueber allen Gipfeln ist Ruh,,,,,,,S. 26-27 (von 18 Blatt),,,,,,,,,,,,,,,Liszt ergänzt mit schwarzer Tinte Stimmen- und Tempoangaben sowie einige Angaben zu Dynamik und Phrasierung.,,"Kopftitel: G mit Rötel, W gestrichen, Zusatz ""Gedicht von Goethe."" mit Bleistift",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191279,URoe,,,
,1001306084,R 579a,Freudvoll und Leidvoll,D-WRgs,GSA 60/D 5,,,Partitur,korrigierte Stichvorlage,,,1001305891,,,Lied aus Egmont | (Freudvoll und Leidvoll) 1te Version,,"Mez, Kl",Quasi Allegretto,,Deutsch,"Freudvoll und leidvoll, gedankenvoll seyn",,,,,,,S. 28-32 (von 18 Blatt),,,,,,,,,,,,,,,"Liszt korrigiert mit Bleistift seine Paginierung von S. 21-25 auf S. 28-32. Liszt schreibt mit Rötel neben den Titel ""1te Version"". Er ergänzt mit schwarzer Tinte Stimmen- und Tempoangaben sowie einige Angaben zu Dynamik und Phrasierung. Auf S. 30 streicht er mit Rötel im 1. System 2 Takte in der Bassstimme der Klavierbegleitung und schreibt jeweils daneben ""pause"". ",,"Kopftitel: 1. Zeile unterstrichen, Zusatz ""1te Version."" von Liszt (Rötel)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191279,URoe,,,
,1001306085,R 579b,Freudvoll und Leidvoll,D-WRgs,GSA 60/D 5,,,Partitur,korrigierte Stichvorlage,,,1001305891,,,"Lied aus Egmont | ""Freudvoll und Leidvoll"" 2te Version",,"Singst, Kl","Allegro agitato, appassionato assai",,Deutsch,"Freudvoll und leidvoll, gedankenvoll seyn",,,,,,,S. 33-35 (von 18 Blatt),,,,,,,,,,,,,,,"Liszt schreibt mit Rötel neben den Titel ""2te Version"". Er ergänzt mit schwarzer Tinte Tempoangaben sowie einige Angaben zu Dynamik und Phrasierung. Auf S. 35 notiert Liszt die 11 Takte Klaviernachspiel selbst.",,"Kopftitel: Zusatz ""2te Version"" von Liszt (Rötel)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191279,URoe,,,
,1001260350,R 552,Arbeiterchor,D-WRgs,GSA 60/E 1a,,,Partitur,korrigierte Stichvorlage,,,,,,,,"B, MCh (TTBB), Kl",,,Deutsch,"Bei, den Spath und Schaufel ziert",,,,,,"zS (schwarze Tinte, Bleistift), Liszt (schwarze Tinte), Dr (Bleistift)","12 Blatt zu 6 Bogen (23 Seiten Notentext, 1 Leerseite, paginiert)","Querformat, 255 x 330 mm, 12 Notenzeilen, handrastriert",,,,,,,,,,,,Längsfalz; die Bogen waren aufgrund der Einstichlöcher vermutl. mit Faden gebunden,Das 1. Blatt fehlt.,"Korrigierte Abschrift, sauber mit schwarzer Tinte geschrieben. Von Liszt finden sich einige wenige Korrekturen mit heller sepia Tinte (S. 25-27). Bleistiftzahlen deuten auf eine Stichvorlage hin. Die Paginierung beginnt mit S. 3, das 1. Blatt fehlt.
Blatt 20v-22v fast ausschließlich a capella (Hinweis des Schreibers, ""Solo Quartett; bloß mit Clarinett, Corn und Fagott unisono zu begleiten | ruht in der Octav /""), es handelt sich also wohl doch um einen Klavierauszug
Tempobezeichnungen mit hellerer/blasserer Tinte durch Liszt (animato, Blatt7r, Blatt14v; più Allo, Blatt 25r; ritenuto, Blatt27r); Blatt26v, letzte zwei Takte: Korrekturen im Klaviersatz; Blatt 27r, Hinzufügung von (De)Crescendo-Gabeln und dynamische Zusätze",,Titelei: [o.T. die ersten Seiten der Abschrift fehlen],https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191723,SKol,,,
,,R 656,Der traurige Mönch,D-WRgs,GSA 60/G 2b,,,Partitur,,,,,,,Der traurige Mönch,,"Sprechst, Kl",Mäßig bewegt,,Deutsch,In Schweden steht ein grauer Thurm,,,,,,"zS (schwarze Tinte), Liszt (blauer und roter Stift, Bleistift)","4 Blatt zu 2 Bogen (Fadenheftung, 7 Seiten Notentext, 1 Leerseite, foliiert)","Hochformat, 241 x 161 mm, 4-10 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Sehr sauber gearbeitete Abschrift, die mit mehreren Durchgängen von Hinzufügungen von Liszt (roter und blauer Stift, Bleistift) versehen ist; weist Streichungen und Rasuren auf. Liszt ergänzt überdies Dynamik und Phrasierung.","Diese korrigierte Abschrift zeigt sehr schön die weiteren Arbeits- und Korrekturphasen von Liszt, der das Manuskript wohl dreimal, jeweils mit anderem Stift durchgeht und Dynamik, Phrasierung und Pedalvorschriften ergänzt",Kopftitel: unterstrichen,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191998,"DTie, BV",,,
,,R 656,Der traurige Mönch,D-WRgs,GSA 60/G 2c,,,Partitur,korrigierte Stichvorlage,,,,Textplatte | Der | traurig Mönch | Ballade | von | N. Lenau | Franz Liszt,,Der traurige Mönch,,"Sprechst, Kl",Mäßig bewegt,,Deutsch,In Schweden steht ein grauer Thurm,,,,,,"zS (schwarze Tinte), Liszt (schwarze Tinte, roter Stift), Dr (Bleistift, grüner Stift)","4 Blatt zu 2 Bogen (Fadenheftung, 1 Titelseite, 6 Seiten Notentext, 1 Leerseite, foliiert)","Hochformat, 283 x 226 mm, 6-12 Notenzeilen, handrastriert ",,,,1442,"1970-xx-xx, [Günther Kraft 134171632], GSA-Findbuch",,,,,,,,,"Es handelt sich um die Stichvorlage, die von zS ausgeführt wurde. Da es sich um ein Melodram handelt sind Notensysteme und Text individuell verteilt. Von Dr hinzugesetzt sind die Nummerierungen der einzelnen Systeme (Bleistift). Es kommen geringfügige Korrekturen von Liszts Hand vor, so eine kleine Rasur und Korrektur des Notentextes auf Blatt 2r (schwarze Tinte). Auf Blatt 3v ist das Arpeggio im dritten Takt auf der Seite mit rotem Stift in die rechte Hand des Klaviers verlängert.","Umschlagblatt: oben links: Hoch (Bleistift), zweimal mit grünem Stift unterstrichen; oben rechts, ebenfalls mit grünem Stift: 18288; unten (Bleistift): ""NB den Text belieben Sie uns den [Lenau'schen 118571508] | Gedichten zu entnehmen CFK""
GSA-Findbuch: Ankauf von Prof. [Günther] Kraft, Weimar 1970","Titelei: Titel mit Bleistift, der Name ""Franz Liszt"" mit blauem Stift
[N. Lenau 118571508]

Kopftitel: unterstrichen",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191998,"DTie, BV",,,
,1001251832,R 521a,Pater noster (III),D-WRgs,GSA 60/C 24,,,Partitur,,,,1001251824,"""Pater noster"" | et | ""Ave Maria"" | pour chant choral | par F. Liszt ",Liszt (schwarze Tinte),Pater noster, Liszt (schwarze Tinte),"GCh (SSATB), Org/Kl",Lento,[Viertel] = 88,Lateinisch,"Pater noster, qui es in coelis",Offerte à la Societé Cherubini de Florence| et dédié à la directrice | [Madame Laussot 116811838]- | (née Taylor),F. Liszt | Octobre 69. | Rome. ,1869-10-xx,Rom,4050471-2,"zS (sepia Tinte), Liszt (schwarzer Tinte)","2 Blatt zu 1 Bogen (1 Titelseite, 2 Seiten Notentext, 1 Leerseite, foliiert)","Hochformat, 367 x 266 mm, 20 Notenzeilen, handrastriert","M (Blatt 1, unten rechts)",,,,,,,,,,,,,Eine sehr akkurate Abschrift mit minimalen Korrekturen.,"Das ""Ave Maria"" (vermutlich R 497) ist davon getrennt worden (siehe GSA 60/C 25). ","Widmung: keine GND. Die ""Società Cherubini"" hatte [Jessie Laussot 116811838] in Florenz gegründet. ",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191217,BV,,,
,1001251837,R 521b,Pater noster (III),D-WRgs,GSA 60/C 24,,,Partitur,,,,1001251824,,,Pater noster, Liszt (schwarze Tinte),"MCh (TTBB), Org/Harm/Kl",Lento,[Viertel] = 88,Lateinisch,"Pater noster, qui es in coelis",,,,,,"zS (sepia Tinte), Liszt (schwarzer Tinte)","2 Blatt zu 1 Bogen (2 Seiten Notentext, 2 Leerseiten)","Hochformat, 367 x 266 mm, 20 Notenzeilen, handrastriert","M (Blatt 4, oben rechts)",,,,,,,,1869-10-xx,[Rom 4050471-2],,,,Eine sehr akkurate Abschrift ohne nennenswerte Korrekturen.,"Das ""Ave Maria"" (vermutlich R 497) ist davon getrennt worden (siehe GSA 60/C 25). ","Datierung: Die Datierung erschließt sich aus Indizien. Es handelt sich um das gleiche Papier, dasselbe Rastrierungsschema und denselben zS wie bei der von Liszt datierten Abschrift von ""Pater noster (II)"" für gemCh (ebenfalls GSA 60/C 24). Da es sich zudem um zwei Fassungen einer Komposition handelt, liegt der zeitlich enge Bezug nahe. Ebenfalls vom selben zS stammen die Abschriften des ""Ave Maria (II)"" unter der Signatur GSA 60/C 25, von denen die Fassung für GCh und Org ebenfalls auf den Oktober 1869 datiert ist.",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191217,BV,,,
,1001340818,R 436 | S 116 | G23,Festmarsch nach Motiven von E. H. z. S.-C.-G.,D-WRgs,GSA 60/A 24,Ms A 24,Liszt-Museum Weimar,Partitur,korrigierte Stichvorlage,,,,Festmarsch. | Nach Motiven von E. H. z. S. | von | Fr. Liszt,,,,"Orch (Picc, 2 Fl, 2 Ob, 2 Klar in A, 2 Fg, 4 Hr in F, 2 Trp in F, 2 Tpos, Bpos, Tb, Bck, klTr, grTr, Pk, Vl, Vla, Vlc, Kb) ",Allegro pomposo e deciso,,,,,,,,,"[Friedrich Randeckart 1350195073] (schwarze Tinte, blauer Stift), Liszt (schwarze Tinte, blauer Stift), Dr (blauer und roter Stift, Bleistift)","12 Blatt zu 1 Bogen und 10 Einzelblatt (1 Titelseite, 23 Seiten Notentext, paginiert)","Querformat, 268 x 349 mm, 16 Notenzeilen und 3 Notenlinien, handrastriert",,,,2581,,,,,,,,Quer- und Längsfalz,,"Abschrift enthält viele Rasuren und mehrere Eintragungen von Liszt mit schwarzer Tinte (vorzugsweise Dynamik und Phrasierung), jedoch nur wenige Korrekturen im Notentext (Vorzeichen). S. 3, Eintragungen von Liszt: ""NB. Die 4 Viertel des Takts fest markirt | und die kurzen Achtelnoten scharf abgestossen."" Abschnitte für den Druck werden mit blauem Stift (Buchstaben sowohl von Liszt als auch von fremder Hand) sowie roter Stift (Zahlen, beginnend auf S. 9 mit der Zahl 16) eingetragen. Hinzu kommen kleine Hinweise wie auf S. 13 bei Klar. und Fg. mit rotem Stift S. 16 unten: ""NB Den Wirbel der MilitärTrommel schwach anfangen"". Bleistiftanmerkung vom Drucker auf S. 16 rechts ""Kreuze hier"". Ab S. 17 beginnt Liszt auch, mit dem blauen Stift, Phrasierungen und Vorzeichen nachzutragen. S. 18 in Blau: stringendo. Manuskript wurde in der Mitte gefaltet aufbewahrt, v.a. auf den ersten Seiten relativ große Schäden am Papier. Die Abschrift trägt viele Markierungen und Zahlen (sowie Korrekturen derselben) mit Bleistift, später rotem Stift, die auf eine Einrichtung des Drucks hindeuten.",,Titelei: Über dem Titel mit Bleistift: Ganz a la Hartels symphon. Dichtung | Enger Stich en 8va. | Fol: 374 [rote Tinte],https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190410,DTie,,,
,1001340862,R 201 (552),Marche héroïque,D-WRgs,GSA 60/A 26,Ms A 26,Liszt-Museum Weimar,Partitur,korrigierte Stichvorlage,,,,,,,,"Orch (Picc, 2 Fl, 2 Ob, 2 Klar in A, 2 Fg, 2 Hr in E, 2 Hr in C, 2 Trp in E, 3 Pos, Tb, Trg, Bck, klTr, grTr, Pk, Vl, Vla, Vlc, Kb)",Allegro deciso,,,,,,,,,"[August Conradi 116655224] (schwarze Tinte), Liszt (Rötel)","12 Blatt zu 6 Bogen (23 Seiten Notentext, 1 Leerseite, paginiert)","Querformat, 259 x 330 mm, 20 Notenzeilen, handrastriert",,,,10684,,,,,,,,,,"Stichvorlage von Conradi mit Hinzufügungen und Korrekturen von Liszts Hand. Die Besetzungsreihenfolge von Conradi ist recht eigenwillig (Schlagwerk, Blech, Holz, dann Streicher) Liszt ergänzt mit Rötel vor allem Dynamik, Phrasierung und Spielanweisungen. Am Notentext selber gibt es nur wenige Korrekturen (bspw. auf S. 3). Das Ende auf S. 23 ist von Conradi mit ""Fine"" bezeichnet. Die Paginierung stammt ebenfalls von Liszt. Außer der Plattennummer gibt es jedoch keinen Hinweis, dass es sich um eine Stichvorlage handeln könnte (keine Markierungen eines Druckers).","Laut GSA-Findbuch: Instrumentation und Handschrift von Conradi. Wurde trotz Plattennummer bei Haslinger zu Liszts Lebzeiten nicht gedruckt (s. NLA I,15)","Kopftitel: Raabe (Bleistift): ""Marche héroique"" (nach dem nicht erschienenen Arbeiterchor)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190412,DTie,,,
,1001252160,R 497,Ave Maria (II),D-WRgs,GSA 60/C 25,,,Partitur,,,,1001252157,,,Ave Maria,Liszt (schwarze Tinte),"GCh (SSATB), Org",Andante pietoso,[Viertel] = 104,Lateinisch,Ave Maria gratia plena,,FLiszt | Octobre 69. | Rome.,1869-10-xx,Rom,4050471-2,"zS (sepia Tinte), Liszt (schwarze Tinte)","2 Blatt zu 1 Bogen (3 Seiten Notentext, 1 Leerseite, foliiert)","Hochformat, 365 x 268 mm, 20 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Die Abschriften sind sehr gut lesbar. Korrekturen des Notentexts nimmt Liszt nicht vor, auch seine übrigen Ergänzungen (teils fehlende Wort im Gesangstext) sind gering.",siehe GSA 60/C 24,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191218,BV,,,
