"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Stadium der Werkgenese,Autographe Funktion,,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Kommentarfeld zu: Titel (der Quelle) Titelblatt | Umschlag,Kopftitel,Kommentarfeld zu: Titel (der Quelle) Notentext,Besetzung (normiert),Tempoangabe (normiert),Sprachcode,Text-Incipit (diplomatisch),Widmung (diplomatisch),Kommentar zur Widmung,Datierung (diplomatisch),Datierung (maschinenlesbar),Datierung ermittelt maschinenlesbar,Datierung Kommentar,Datierung Ort nach GND,Datierung Ort ermittelt,GND-Nr. Ort,Schrift (fremder Hand),Umfang,Papiermaß,Bezug zu Druck: Verlags-GND-Nr.,Bezug zu Druck: Plattennr.,Provenienz,Provenienz (diplomatisch),weitere Provenienzangabe,Beschreibung physischer Merkmale, Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar,Kommentar intern,Digitalisat,Bearbeiter,"Sonstige Infos, Ausgaben, Permalinks",Provenienz Station 1,Provenienz Station 2,Provenienz Station 3
,,"R 238,1 | S 553 | A141",1. Air du Stabat mater (Cujus animam),D-WRgs,GSA 60/U 79,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,,,Kl,,,,,,,,,,,,,"Liszt (schwarze Tinte, Rötel)",[S. 1-6],"Hochformat, ??? x ??? mm, 20 Notenlinien, handrastriert",,,,,,,,"Die Rhapsodie Hongroise für Vl und Kl ist in dem Autograph weitgehend vollständig notiert, es fehlen im Kl die ersten sechs Takte, die letzten sechs Takte der Komposition sind gar nicht notiert. Insgesamt scheint die Komposition noch unfertig, die Vl-Stimme ist über weite Strecken gestrichen oder gar nicht notiert, ohne dass Liszt die geänderte Vl, wie sie später im Druck erscheint, schon eingetragen hätte (z. B. S. 5-7) Einige Passagen, die in dem Autograph notiert sind, kommen schließlich im Druck gar nicht vor.","Digitalisat Notentext, Schott [1853?]: https://haab-digital.klassik-stiftung.de/viewer/image/1766681166/4/",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209545,DTie,,,,
,,"R 238,2 | S 553 | A141",2. La Charité,D-WRgs,GSA 60/U 79,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,,,Kl,,,,,,,,,,,,,"Liszt (schwarze Tinte, Rötel)",[S. 6-8],"Hochformat, ??? x ??? mm, 20 Notenlinien, handrastriert",,,,,,,,"Die ""Korrekturen"" zum Stabat mater betreffen drei Abschitte, zunächst eine Ossiafassung, ""für die 2 Zeilen | Ossia zu Seite 5. Stabat mater"" [S. 6]. Auf [S. 7] schreibt Liszt mit Rötel, ""Correctur zur Seite 9"" sowie ""Vide | Pag. 11"". Abschließend notiert er den Hinweis ""Auf 2 Zeilen schreiben"" mit schwarzer Tinte. Auch diese Korrekturen wurden nachträglich mit Rötel überarbeitet, mit dem Liszt Phrasierung und Spielanweisungen hinzusetzte. ","Digitalisat Notentext, Schott [1853?]: https://haab-digital.klassik-stiftung.de/viewer/image/1766683908/4/","Bezug zu Quelle U 52 (in N5, S. 144-136)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209545,DTie,,,,
,,R 324 | S 598 | B55,[Der Kampf ums Leben],D-WRgs,GSA 60/V 26,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,,,"Trp, Kl",[Tempo 1mo Andante],,,,,,,,,,,,"Liszt (schwarze Tinte, blauer und roter Stift)",[S. 9-10],"Hochformat, ??? x ??? mm, 12 Notenzeilen, handrastriert",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,,,"Das letzte Einzelblatt in dem Quellenkonvolut stellt wohl ein Korrekturblatt oder eine alternative Variante dar, in der auf ""Page 12 Bis"" eine in der Partitur der Symphonischen Dichtung nicht zu findende ""Trompette""-Stimme mit einem Klaviersatz/Auszug niedergeschrieben sind. Auf [S. 10] findet sich der Schluss in zwei Alternativen, die ebenfalls mit blauem Stift gestrichen sind sowie Liszts Hinweis mit blauem Stift ""Vide die Abschrift"". Darunter folgt mit schwarzer Tinte der Titel des dritten Satzes: ""(Le cereueil, berceau de la vie future. | Das Grab, Wiege des zukünftigen Lebens"". Darunter die Notation des einstimmigen Beginns, mit dem Zusatz ""Englisch Horn"" versehen, doch ebenfalls mit blauem Stift gestrichen. Ganz unten rechts auf der Seite findet sich ein Verweiszeichen mit rotem Stift sowie Liszts Hinweis, ""weiter | Seite 12"", was darauf hindeutet, dass es sich hierbei um ein eingeschobenes Korrekturblatt handeln sollte.","Eingeschobenes Korrekturblatt (weiter Seite 12), muss noch lokalisiert werden.

Druck HAAB: urn:nbn:de:gbv:32-1-10036146905

Digitalisat Notentext, Bote & Bock [1883]: https://haab-digital.klassik-stiftung.de/viewer/image/4038151506/5/","Mehrere Elemente in einem Konvolut zusammengefasst, wie mir scheint. Hierbei müsste es sich um ein Korrekturblatt handeln. Unklar, da Liszt alles wieder gestrichen hat.",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209619,DTie,,,,
,,R 557 | S 87 | L10,Weimar's Volkslied,D-Ngm,Hs 107019,M. 237|c,,Arbeitsmanuskript,Korrekturblatt,,,x,,,Korrekturblatt steht auf der Verso-Seite des Titelblatts von Hs 107019 [3],,,"GCh (STTB), Orch (Klar, Fg, 2 Hr, 2 Trp, 2 Pos, Pk, Vl, Vla, Vlc, Kb)",,,... ausgeweihten Gräbern spalten ...,,,,,,,,,,"Liszt (schwarze Tinte, roter und blauer Stift)","1 Einzelblatt, 1 Seite Notentext","Hochformat, 344 x 270 mm, 30 Notenzeilen, handrastriert",,,,,,,,"Der zweite Abschnitt der Signatur beginnt mit Korrekturen, was von Liszt eigenhändig mit rotem Stift vermerkt wurde; ""Correctur"". Zudem finden sich viele Hinweise mit verschiedenen Schreibstoffen, die auf die jeweiligen Stellen, wo das Lied anknüpft, verweisen [S. 14]. ""2 takte zu Seite 8"", ""Orchester Seite 8"", ""zurück Seite 11"" jeweils mit schwarzer Tinte, ""Weiter Seite 8"" mit blauem Stift. ","nur Korrekturblatt, eigene Entität (im Gegensatz zu Gottwald)",,https://dlib.gnm.de/item/Hs107019/14,DTie,,,,
,,R 423 | S 106 | G15,Die Ideale,D-Ngm,Hs 107023 [1],,,Arbeitsmanuskript,Korrekturblatt,,,,,,,,,,,,,,,,,,,,,,"Liszt (schwarze Tinte, blauer Stift)","4 Blatt zu 2 Bogen, 6 Seiten Notentext, 2 Leerseiten","Hochformat, 344 x 269 mm, 30 Notenzeilen, handrastriert",,,Germanisches Nationalmuseum,GERMANISCHES | NATIONALMUSEUM,,,,"Notentext mit blauem Stift überschrieben: ""zu Seite 27. H | Correctur Seite -"". Diese Zuschreibung ist extrem irreführend, denn der notierte Notentext auf [S. 19/20] bezieht sich auf Buchstabe W in der gedruckten Partitur (GA, S. 77).",,,https://dlib.gnm.de/item/Hs107023-1/19,DTie,,,,
,,,Erste Elegie,D-Ngm,Hs 107023 [1],,,Arbeitsmanuskript,Korrekturblatt,,x,,,,,,,,Andante,,,,,,,,,,,,"Liszt (schwarze Tinte, roter und blauer Stift)","2 Blatt zu 1 Bogen, 3 Seiten Notentext, 1 Leerseite","Hochformat, 357 x 273 mm, 20 Notenzeilen, handrastriert",,,,,,,,"Die Zuordnung des Korrekturblatts ist nicht klar. Auf D-Ngm 107023 [1] Nr. 4 und Nr. 6 beziehen sich die Korrekturen nicht, die Seitenangaben passen nicht zu diesen Manuskripten. Außerdem scheint sich das Korrekturblatt auf einen späteren Stand der Kompositionen zu beziehen, als den in Nr 4 und 6 erkennbaren. Wahrscheinlich beziehen sich die Korrekturen auf den Korrekturabzug des Drucks.","Hier müssen wir nochmal ran, es handelt sich um Korrekturblätter zu den Idealen, es sind zwei Bögen, die in dem Konvolut unter Nr. 2 zusammengefasst werden",,,BV,,,,
,,R 76,Erste Elegie,D-Ngm,Hs 107023 [1],,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,,,Kl,Andante,,,,,,,,,,,,"Liszt (schwarze Tinte, roter und blauer Stift)","2 Blatt zu 1 Bogen, 3 Seiten Notentext, 1 Leerseite","Hochformat, 357 x 273 mm, 20 Notenzeilen, handrastriert",,,Germanisches Nationalmuseum,GERMANISCHES | NATIONALMUSEUM,,,,"Die Korrektur auf Seite 1 umfasst die gesamte erste Seite des Drucks bei Kahnt. Seite 2 enthält fünf Korrekturabschnitte, von denen der erste und der dritte ihrerseits Streichungen (roter Stift) und Ergänzungen (blauer Stift) aufweisen.",,Diese Zeile gehört zu 725; die Korrekturen stehen auf demselben Bogen (DTie),,BV,,,,
,,R 471,Erste Elegie,D-Ngm,Hs 107023 [1],,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,,,"Vlc, Hrf, Harm, Kl",,,,,,,,,,,,,"Liszt (schwarze Tinte, roter Stift)","[1 Einzelseite, zum obigen Bogen zugehörig]","Hochformat, 357 x 273 mm, 20 Notenzeilen, handrastriert",,,Germanisches Nationalmuseum,GERMANISCHES | NATIONALMUSEUM,,,,"Seite 3 enthält zwei Korrekturen, die mit den Buchstaben C und D gekennzeichnet sind (roter Stift). Liszt überträgt offenbar entgegen seiner ursprünglichen Absicht, die im Kl vorgenommenen Veränderungen auf die Kl-Fassung der ""Ersten Elegie"". Unter den beiden Korrekturen steht ""Im Clavier Arrangement Imgleichen."" Die Notiz lautete zuvor ""Im Clavier Arrangement bleibt der alte"", wobei Liszt ""bleibt der alte"" gestrichen hat (roter Stift).",,Diese Zeile gehört zu 724; die Korrekturen stehen auf demselben Bogen (DTie),,BV,,,,
,,R 423 | S 106 | G15,Die Ideale. Symphonische Dichtung nach Friedrich Schiller,D-Ngm,Hs 107023 [1],,,Arbeitsmanuskript,Korrekturblatt,,,,,,,,,Orch,,,,,,Donnerstag 9ter July 57. FLiszt (im 46ten Jahr),1857-07-09,,,,,,"Liszt (schwarze Tinte, Bleistift, blauer Stift)","4 Blatt zu 2 Bogen, 6 Seiten Notentext, 2 Leerseiten","Hochformat, ??? x ??? mm, 30 Notenzeilen, handrastriert",,,,,,,,"Die zwei Korrekturbogen zu ""Die Ideale"" sind eindeutig dem Arbeitsmanuskript in D-Ngm Hs 107017 zuordnen. Die mit ""A"" bezeichnete Korrektur auf der ersten Seite des von Liszt mit ""Correctur Bogen"" bezeichneten Doppelblatts fügt sich in das Arbeitsmanuskript auf Seite 5 ein, auch die dortige Nummerierung der Takte von 1 bis 20 wird auf dem Korrekturbogen mit 21-36 fortgesetzt (blauer Stift). Die übrigen Korrekturen übersteigen die Seitenzahlen des Arbeitsmanuskript-Fragments in D-Ngm Hs 107017.
Der von Liszt mit ""Correctur Seite"" beschriftete Bogen setzt die Korrekturen mit dem Verweis auf Seite 27 im Arbeitsmanuskript fort, ist folglich die Fortsetzung der Korrekturen vom ""Correctur Bogen"". Die Reihenfolge der beiden Bogen in der Bindung ist die entgegengesetzte, die beiden Bogen wurden beim Binden also vermutlich vertauscht.
- ""Correktur Seite"": auf den vier Seiten des Bogens finden sich insgesamt sieben neu komponierte Korrekturpassagen, die Liszt mit Buchstaben A bis G versehen hat, um sie an den entsprechenden Stellen des Arbeitsmanuskripts einfügen zu können.
- ""Correctur Bogen"": nur die ersten beiden Seiten enthalten Notentext. Es sind vier neu komponierte Passagen, die Liszt für die Zuordnung zum Arbeitsmanuskript mit Seitenzahlen versieht.",,,,BV,,,,
,,R 357 | S 635 | C9,Ce qu'on entend sur la montagne,D-WRgs,GSA 60/A 1c,,,,Korrekturblatt,,,x,,,,(Seite 30 der Patitur.),,2 Kl,Andante religioso,,,,,,,,,,,,Liszt (schwarze Tinte),Blatt 2r (von 15 Blatt),"Hochformat, 340 x 266 mm, 13 Notenzeilen, handrastriert",,,,,,Papier wie Blatt 5 und 11,,"Saubere Notation des Andante religioso Parts, 1. System 2. Klavier, 2. System 1. Klavier. Unter dem Thema schreibt Liszt zwei Systeme im Allegro moderato mit Arpeggien (G-Dur und E-Dur). ","Raabe (Bleistift): ""Weist auf die Breitkopf'sche Stich-Vorlage (Raff) hin.""
Papier und Format passt nicht zu D-WRgs GSA 60/W 1",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190243,DTie,,,,
,,R 357 | S 635 | C9,Ce qu'on entend sur la montagne,D-WRgs,GSA 60/A 1c,,,,Korrekturblatt,,,x,,,,"Correctur Blatt - zu den Clavier Auszug der | Symphonischen Dichtung No 1 | (""Ce qu'on entend sur la montagne"".)",,2 Kl,,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)",Blatt 3r-3v (von 15 Blatt),"Querformat, 274 x 345 mm, 20 Notenzeilen, handrastriert",,,,,,,,"Blatt beinhaltet vier Korrekturen, die jeweils ausführlich mit Text versehen sind. Die Notation ist sehr sauber ausgeführt und die einzelnen Stimmen sind mit Besetzung versehen. Liszts Hinweise lauten folgendermaßen. ""Buchstaben H - 11ter Takt (nach der Partitur) muss die Violin Solo Stelle wie in der Partitur | folgender Weise geändert, und die Takt Eintheilung darnach getroffen werden [Beispiel] dann weiter | Buchstaben I | (die zwei - | tamtam Schläge)"". Über das zweite System der [S. 9] schreibt Liszt, ""dann Buchstaben J [?] 11ter Takt dieselbe Stelle in H Dur [Beispiel] dann | weiter | Buchstabe | K. | Allegro | agitato assai"". Die Rückseite beginnt mit einem Bleistifthinweis: ""Buchstabe P. 15ter Takt (1ter des Allegro moderato) | nach der Partitur - muss die correspondirend Stelle | ??? | weise geändert sein [weiter mit Tinte] (wodurch ein Takt weniger als früher [Beispiel] weiter | Buchstabe Q"". Schließlich das vierte Beispiel: ""Buchstabe Q (27ter Takt - 7ter Takt des 2ten Allegro moderato) | item - wodurch ebenfalls ein Takt weniger als früher [Beispiel] weiter bei der correspondirenden Stelle [zweimal]"". Bei den vier Korrekturen handelt es sich immer um dasselbe ursprüngliche Violinen-Thema in verschiedenen Tonarten (B-Dur, H-Dur, G-Dur und E-Dur). Im letzten Beispiel ergänzte Liszt mit Bleistift eine Crescendogabel im dritten Takt.",Siehe Violinen Solo Part S. 40/41; S. 45/46; S. 78/79; 83/84.,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190243,DTie,,,,
,,R 412 | S 95 | G1,Ce qu'on entend sur la montagne,D-WRgs,GSA 60/A 1c,,,,Korrekturblatt,,,x,,,,Correctur Blatt zur Seite 12 - Buchstaben E,"das ""Co"" ist mit Rötel nachgeschrieben","Orch (Fl, Ob, Klar, Bklar, Fg, Hr, Trp, Pos, Hrf, Pk, Vl, Vla, Vlc, Kb)",Allegro con moto,,,,,,,,,,,,"Liszt (schwarze Tinte, Rötel)",Blatt 4r (von 15 Blatt),"Hochformat, 403 x 333 mm, 26 Notenzeilen, handrastriert",,,,,,Längs- und Querfalz,,"Korrekturblatt von Liszt zum Buchstaben E, der mit Rötel hinzugefügt wurde. Dieses enthält selbst ungewöhnlich viele Striche in einzelnen Stimmen. Am Ende folgt der Hinweis mit Tinte, ""Vide Seite | 12 -"".","Raabe (Bleistift): ""Weist auf die Breitkopf'sche Stichvorlage (Raff) hin R."" Auf der leeren Rückseite findet sich ein Bleistiftvermerk von fremder Hand (Vorbesitzer?): ""Partitur. Page 32. Initial E bar 7 to end + 1 bar Allegro con moto"". Papier und Rastrierung wie D-WRgs GSA 60/A 1a (Buchstabenangabe nicht enthalten)",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190243,DTie,,,,
,,R 412 | S 95 | G1,Ce qu'on entend sur la montagne,D-WRgs,GSA 60/A 1c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,Correctur Blatt zu Seite 13,,"Orch (Vl, Vla, Vlc, Kb)",,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)",Blatt 5r-5v (von 15 Blatt),"Hochformat, 340 x 261 mm, 13 Notenzeilen, handrastriert",,,,,,Längs- und Querfalz; Papier wie Blatt 2 und 11,,"Saubere Korrektur Liszts des Streichersatzes. Zudem trägt er den Buchstaben ""F"" nachträglich mit Bleistift ein. Am Ende der Notation folgt der Hinweis, ""zurück Seite 14. Auch dieses Blatt trägt einen Bleistiftvermerk am unteren Ende: ""Partitur Page 34 (Allegro con moto) | bar 9-15"".","Raabe (Bleistift): ""Weist auf die Breitkopf'sche Stichvorlage (Raff) hin R.""
Das Blatt scheint nachträglich aus Privatbesitz abgekauft oder dem GSA vermacht worden zu sein (s. englische Bezeichnung).",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190243,DTie,,,,
,,R 412 | S 95 | G1,Ce qu'on entend sur la montagne,D-WRgs,GSA 60/A 1c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,Correktur Blatt zur Seite 15,Liszt (Bleistift),"Orch (Fl, Ob, Klar, Bklar, Fg, Hr, Trp, Pos, Tt, Pk, Vl, Vla, Vlc, Kb)",,,,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift)",Blatt 6r-6v (von 15 Blatt),"Hochformat, 400 x 332 mm, 26 Notenzeilen, handrastriert",,,,,,Längs- und Querfalz,,"Korrekturblatt (zu Part. S. 37-45, Allegro mestoso). Die Instrumentenbezeichnungen im unteren System wurden korrigiert sowie mit Bleistift der Buchstabe H hinzugefügt und ""I"" auf [S. 16]. Der Notentext entspricht dabei nahezu der gedruckten GA-Partitur, mit Ausnahme des Violin-Solos am Ende, das eine leichte rhythmische Differenzierung aufweist. Zum Ende hin notiert Liszt mit Bleistift, ""Segue | Pag: 21, Buchstaben | K - "". ","Raabe (Bleistift): ""Weist auf die Breitkopf'sche Stichvorlage (Raff) hin R."" Auf Blatt 6r mittig Rostspuren einer entfernten Büroklammer. Papier und Rastrierung wie D-WRgs GSA 60/A 1a. ",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190243,DTie,,,,
,,R 412 | S 95 | G1,Ce qu'on entend sur la montagne,D-WRgs,GSA 60/A 1c,,,korrigierte Abschrift,Korrekturblatt,,,x,,,,,,"Orch (Fl, Ob, Klar, Bklar, Fg, Hr in C, Hr in Es, Trp, Tt, Pk, Hrf, Vl, Vla, Vlc, Kb)",,,,,,,,,,,,,"[Joachim Raff 118597779] (schwarze Tinte), Liszt (Bleistift, Rötel)",Blatt 7r-7v (von 15 Blatt),"Hochformat, 431 x 281 mm, 30 Notenzeilen und 1 Notenlinie, handrastriert",,,,,,,,Von Raff mit S. 17/18 paginiert. Blatt ist komplett von Liszt mit Rötel gestrichen. Auf Blatt 7v trägt er im oberen System den Buchstaben I mit Rötel ein.,"Raabe (Bleistift): ""Identisch mit S. 7-11 von Ms A 1a | Erste Fassung der entsprechenden Seiten in der Breitkopf'sche Stichvorlage R.""
Papier wie D-WRgs GSA 60/A 1a (Buchstabenangabe nicht enthalten)",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190243,DTie,,,,
,,R 412 | S 95 | G1,Ce qu'on entend sur la montagne,D-WRgs,GSA 60/A 1c,,,korrigierte Abschrift,Korrekturblatt,,,x,,,,,,"Orch (Picc, Fl, Ob, Klar, Bklar, Fg, 4 Hr, 3 Trp, 2 Tpos, Bpos, Tb, Hrf, Vl, Vla, Vlc, Kb)",,,,,,,,,,,,,"[Joachim Raff 118597779] (schwarze Tinte), Liszt (schwarze Tinte, Bleistift, Rötel)",Blatt 8r-8v (von 15 Blatt),"Hochformat, 431 x 281 mm, 20-30 Notenzeilen, handrastriert",,,,,,,,Von Raff mit S. 41/42 paginiert. Liszt notiert mit schwarzer Tinte unter den ersten 4 Takten auf Blatt 8r auf 2 Notenlinien Schlagwerk (Intrumentenbezeichung abgeschnitten). Dies und die ersten 5 Takte der Partitur sind mit Rötel komplett gestrichen. Über dem 5. Takt rägt er mit Rötel den Buchtstaben V ein. Weiterhin finden sich Verweise auf die Harfe von Liszt mit Rötel bzw. Bleistift. Auf Blatt 8v sind im unteren System die ersten beiden Takte von Liszt mit schwarzer Tinte gestrichen.,"Raabe (Bleistift): ""Erste Fassung der entsprechenden Seiten in | der Breitkopf'sche Stichvorlage, Abschrift von S. 25 Takt 5 - S. 27 letzter Takt der | Ms A 1a. R."" Papier wie D-WRgs GSA 60/A 1a (Buchstabenangabe nicht enthalten)",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190243,DTie,,,,
,,R 412 | S 95 | G1,Ce qu'on entend sur la montagne,D-WRgs,GSA 60/A 1c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,zur Seite 32,Liszt (Bleistift),"Orch (Fl, Klar in A, Bklar, Fg, Pos, Tb, grTr, Pk, Vl, Vla, Vlc, Kb)",,,,,,,,,,,,,"Liszt (schwarze Tinte, Rötel, Bleistift)",Blatt 9r-9v (von 15 Blatt),"Hochformat, 400 x 332 mm, 26 Notenzeilen, handrastriert",,,,,,Längs- und Querfalz,,"Korrekturblatt mit einer Variante der Partiturstelle S. 78-86, T. 3. Enthält viele Rasuren und Strichen. Auf der Rückseite schreibt er am Ende mit Rötel ""zurück | Seite 34 | Allegro moderato | [3b Vorzeichnung]"". Zur Ausführung des Schlagwerks notiert Liszt auf Blatt 9r mit schwarzer Tinte: ""+ Große Trommel mit Paukenschlägel (baguette d'eponge)"". 
Die Notation auf [S. 23] entspricht in der Partitur S. 103, T. 2 bis Buchstabe V und weist im Anschluss, wohl nachträglich unter dem System notiert, eine reduzierte Fortführung mit den Harfen-Glissandi auf (Orchstersatz ist hier auf die Kb reduziert). Liszt schreibt hier am Ende der Seitenkante mit Rötel: ""dass übrige | Orchester | Vide Partitur | Seite 31 | Harfe glissando"". Dabei sind ""Orc"" und die Zahl ""41"" mit Tinte nachgezogen, das Glissando mit Bleistift ergänzt. Im Orchestersatz selbst hat Liszt mit Rötel crescendo-Gabeln ergänzt sowie mit Bleistift die Repetitionen in den Vla und Vlc hinzugefügt. Die Rückseite ist unbeschrieben, und weist Flecken auf.","Raabe (Bleistift): ""(weist auf die Breitkopf'sche Stichvorlage (Raff) hin) | R."" Auf Blatt 9r mittig Rostspuren einer entfernten Büroklammer. Papier und Rastrierung wie D-WRgs GSA 60/A 1a. ",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190243,DTie,,,,
,,R 412 | S 95 | G1,Ce qu'on entend sur la montagne,D-WRgs,GSA 60/A 1c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,,,"Orch (Picc, Fl, Ob, Klar in A, Bklar, Fg, Hr, Trp, Pos, Tb, Tt, grTr, Vl, Vla, Vlc, Kb)",,,,,,,,,,,,,"Liszt (schwarze Tinte, Rötel, Bleistift)",Blatt 10r (von 15 Blatt),"Hochformat, 400 x 332 mm, 26 Notenzeilen, handrastriert",,,,,,Längs- und Querfalz,,"Die Notation entspricht in der Partitur S. 103, T. 2 bis Buchstabe V und weist im Anschluss, wohl nachträglich unter dem System notiert, eine reduzierte Fortführung mit den Harfen-Glissandi auf (Orchstersatz ist hier auf die Kb reduziert). Liszt schreibt am Seitenrand mit Rötel: ""dass übrige | Orchester | Vide Partitur | Seite 41 | Harfe glissando"". Dabei sind ""Orc"" und die Zahl ""41"" mit Tinte nachgezogen, das Glissando mit Bleistift ergänzt. Im Orchestersatz selbst hat Liszt mit Rötel crescendo-Gabeln ergänzt sowie mit Bleistift die Repetitionen in den Vla und Vlc hinzugefügt. Die Rückseite ist unbeschrieben und weist Flecken auf.","Raabe (Bleistift): ""hat der Überklebung S. 40 etc. | in der Breitkopf'sche Stichvorlage zur Vorlage gedient. | R."" Auf Blatt 10r mittig Rostspuren einer entfernten Büroklammer. Papier und Rastrierung wie D-WRgs GSA 60/A 1a. ",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190243,DTie,,,,
,,R 412 | S 95 | G1,Ce qu'on entend sur la montagne,D-WRgs,GSA 60/A 1c,,,Arbeitsmanuskript,Korrekturblatt,,,x,,,,Harfe zur Seite 38,Liszt (Rötel),Hrf,,,,,,,,,,,,,"Liszt (schwarze Tinte, Rötel)",Blatt 12r-12v (von 15 Blatt),"Querformat, 205 x 255 mm, 9 Notenzeilen, handrastriert",,,,,,Längsfalz,,"Auf diesem Blatt ist die Harfenstimme (s. Part, S. 98, T. 5 bis S. 101, T. 1) von Liszt mit Tinte notiert. Darüber ist die skizzierte Überleitungsfigur in den Holzbläsern, die von geteilten Violinakkorden im Diskant unterlegt ist (Part., ca. S. 83/84) mit Rötel gestrichen und Liszt notiert mit diesem am oberen Ende der Seite: ""Harfe zu Seite 38."" sowie am Ende ""Volti -"". Auf der Rückseite finden sich zwei weitere Takte Harfenarpeggien mit Tinte.","Raabe (Bleistift): ""Weist auf die Breitkopf'sche Stichvorlage S. 38 hin R.""
Vorbesitzer? mit Bleistift: ""Partitur Page 111 - to End of 116""",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190243,DTie,,,,
,,R 412 | S 95 | G1,Ce qu'on entend sur la montagne,D-WRgs,GSA 60/A 1c,,,korrigierte Abschrift,Korrekturblatt,,,x,,,,,,"Orch (Fl, Klar, Bklar, Fg, Hr in Es, Hrf, Vl, Vla, Vlc, Kb)",,,,,,,,,,,,,"[Joachim Raff 118597779] (schwarze Tinte), Liszt (schwarze Tinte, Bleistift, Rötel)",Blatt 13r-13v (von 15 Blatt),"Hochformat, 430 x 284 mm, 26-28 Notenzeilen, handrastriert",,,,,,Längs- und Querfalz,,"Von Raff mit S. 19/20 paginiert. Von Liszt mit Rötel (und auf der Rückseite teilweise mit Bleistift) komplett gestrichen. Dass der Strich erst nachträglich erfolgte wird aus Liszts Eintragungen wie ""dolcissimo"", Buchstabe J und K sowie ""Hörner in Es"" deutlich. ",Papier wie D-WRgs GSA 60/A 1a (Buchstabenangabe nicht enthalten). Kein Vermerk von Raabe und wird in seiner Inhaltsübersicht nicht genannt. Wurde daher nachträglich hinzugefügt.,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190243,DTie,,,,
,,R 413 | S 96 | G2,Tasso. Lamento e Trionfo,D-WRgs,GSA 60/A 2c,"Ms, A 2|c",,Arbeitsmanuskript,Korrekturblatt,,x,,,,,,,,,,,,,,,,,,,,"Liszt (schwarze Tinte, roter Stift, Rötel, Bleistift)","19 Blatt zu 4 Bogen und 1 Einzelblatt (31 Seiten Notentext, 7 Leerseiten, teilpaginiert und foliiert)",,,,,,,,,"Sammlung der Korrekturblätter zu 60/A 2b. Alles Autographe von Liszt, enthält auch das ""Quasi Menuetto"", GA I,1, S. 32-59.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190250,DTie,,,,
