"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Kommentar zur Signatur,Stadium der Werkgenese,Funktion,"interne Sicherung vormaliger ""Typ""-Einträge",Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Kommentarfeld zu: Titel (der Quelle) Titelblatt | Umschlag,Kopftitel,Kommentarfeld zu: Titel (der Quelle) Notentext,Besetzung (normiert),Tempoangabe (normiert),Sprachcode,Text-Incipit (diplomatisch),Widmung (diplomatisch),Kommentar zur Widmung,Datierung (diplomatisch),Datierung (maschinenlesbar),Datierung ermittelt maschinenlesbar,Datierung Kommentar,Datierung Ort nach GND,Datierung Ort ermittelt,GND-Nr. Ort,Schrift (fremder Hand),Umfang,Papiermaß,Bezug zu Druck: Verlags-GND-Nr.,Bezug zu Druck: Plattennr.,Provenienz,Provenienz (diplomatisch),weitere Provenienzangabe,Beschreibung physischer Merkmale, Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Sonstige Infos, Ausgaben, Permalinks",,,Provenienz Station 1,Provenienz Station 2,Provenienz Station 3
,,R 5 | S 144 | A118,"Trois études de concert, Nr. 3",A-Wgm,A 189a,VII 75364,,Fragment ,,,,,,,,,,Kl,,,,,,,,,,,,,Liszt (schwarze Tinte),"2 Blatt, 2 Seiten Notentext, 1 Seite Dedikation, 1 Leerseite","1) Hochformat, 249 x 197 mm, 12 Notenzeilen, handrastriert
2) Hochformat, 273 x 217 mm 14 Notenzeilen, handrastriert",,,Archiv der Gesellschaft der Musikfreunde in Wien,Archiv der Gesellschaft der Musikfreunde in Wien,,"1) ist ein beiligendes Dedikationsschreiben (?), bei 2) handelt es sich um das zugeschnittene Autograph Liszts
Beide Blätter sind paginiert (139-142)",,"Reinschrift des Beginns der Étude mit schwarzer Tinte (bis zum e3, Druck S. 22, T. 3) mit einigen Rasuren und Korrekturen von Liszt (Paginierung 141/142). Die Notation bricht unvermittelt ab und ist von Liszt am unteren rechten Eck der Verso-Seite signiert. Das Blatt wurde zugeschnitten, auch über den Notentext hinaus (so fehlt teilweise der vierte Schlag um letzten Takt der Systeme und die untere Zeile der linken Hand ist ebenfalls weggeschnitten). Dem autographen Blatt geht eine kleinformatigere Dedikationsseite voraus, die mit 140 paginiert ist: ""In great reverence for the | author of the Etude on the next | page Franz Liszt I am | Yours sincerely | Teresa Carreños | Boston March 20th 1908""
Die Notation entspricht dem Druck, weist auch die markanten Sprünge in beiden Händen auf (m.g. bzw. m.s.). Korrektur auf der Verso-Seite, am Beginn von Zeile drei. 
Das Papier wurde an der oberen Kante mit Tesa-Streifen repariert und in der Mitte gefaltet aufbewahrt.","Wer war Teresa Carreños (Carreña?)? 
Die Paginierung lässt vermuten, dass beide Blätter aus einer Sammlung (gebundenes Autographenbuch?) herausgelöst wurden.",,wird bestellt,DTie,,,,,,
,,R 225 | S 416 | A79,Le Moine,A-Wgm,A 189b,VII 79300,,Fragment ,,,,,,,,,,Kl,,,,,,,,,,,,,"Liszt (schwarze Tinte), Dr (Bleistift)","1 Einzelblatt, 2 Seiten Notentext","Querformat, 148 x 186 mm, 10 Notenzeilen, handrastriert",,,Archiv der Gesellschaft der Musikfreunde in Wien,Archiv der Gesellschaft der Musikfreunde in Wien,,"Zurechtgeschnittenes Fragment, viel Notentext fehlt, Zustand des Papiers relativ schlecht, da es an der oberen Kante starke Risse und Reparaturen derselben aufweist.",,"Reinschrift von Liszt mit schwarzer Tinte, die Notation wurde zugeschnitten (möglicherweise als ""Souvenir""). Der Quelle liegt eine ausführliche Beschreibung der PADA (Professional Autograph Dealers Association= sowie die invoice 5853 ($3,500.00) bei. Es handelt sich um ein ""holograph fragment of the manuscript of Liszt's LE MOINE (LW A79; published by Schlesinger in Berlin in 1842). This is part of the engraver's manuscript with printer's marks in pencil. The condition is fine except for the top part of the item. There are three tears but not very prominent, but with slight repair."" Der Beschreibung liegt zudem eine Kopie des Drucks bei, der Ausschnitt des Manuskripts ist eingerahmt (Recto-Seite: Druck S. 10, letztes System bis S. 11, Ende zweites System; Verso-Seite: Druck S. 12, 2. System, T. 3 bis S. 14, 2. System, T. 1). Liszt nummerierte augenscheinlich die Taktzahlen, lesbar sind von seiner Hand auf der Recto-Seite 10, 11, 14, 15, 17 sowie auf der Verso-Seite F, G, I, J. ","Etwas merkwürdige Quelle, da stark zugeschnitten, recto 7 Takte Musik, verso 6 Takte. 
Im Umschlag mit Bleistift der Hinweis: ""Schubertiade Music, Newton (MA) | Erworben 2016""",,wird bestellt,DTie,,,,,,
,,R 98 | S 694 | Q8,Fansaisie sur des thèmes anglais (God Save the Queen) für Klavier und Orchester,A-Wgm,A 194a ,VII 75358,,Fragment ,,,,,,,,[Introduzione tacet],"eigentlich Anweisung an die petite Flute, aber Hinweis, dass es sich hier um die ""Einleitung"" handelt","Orch (Picc, Fl, Ob, 2 Klar, 2 Fg, 2 Hr in C, 2 Trp, Trb, Pk, Vl, Vla, Vlc, Kb)",Andante quasi Adagio,,,,,,,,,,,,"Liszt (schwarze Tinte, Rötel)","1 Blatt, 2 Seiten Notentext, teilweise paginiert (nur S. 1)","Querformat, 260 x 356 mm, 16 Notenzeilen, handrastriert",,,,,,"Blatt sehr abgenutzt mit bräunlich-schwarzen Verfärbungen am äußeren Rand. Dass die Quelle ursprünglich aus mindestens einem Bogen bestand, zeigt der schräg abgerissene Rest auf der Verso-Seite (ca. 13,5cm lang und bis zu 3cm breit), der noch Notentext derPartitur enthält.",,"Saubere Reinschrift von Liszt, dessen restliche Blätter abgerissen oder verloren sind, wodurch die Quelle einen fragmentarischen Charakter erhält. Die Notation ist akkurat in vollständig mit Tinte notiert und beinhaltet eine orchestrierte Version von ""Good save the Queen/King"", also der Englischen Hymne. Die unterschiedliche Tintenstärke lässt darauf hindeuten, dass Liszt Crescendogabeln, Dynamik und Phrasierung nachträglich hinzugefügt hat. Die Notation bricht unvermittelt auf der Verso-Seite mit einer Generalpause ab, es hat jedoch nicht den Anschein, als wäre der Rest der Reinschrift von Liszt entfernt/abgerissen worden. Die Paginierung erfolgte eigenhändig mit Rötel, jedoch nur auf der ersten Seite.",wo ist der Rest?,,wird bestellt,DTie,,,,,,
,,R 479 | S 4 | I8,Cantico del Sol di San Francesco,A-Wgm,A 197b,I 75357,,Fragment ,,Reinschrift / Fragment,,,,,,,,"Ob, 2 Klar, 2 Fg, Vl, Vla, Vlc, Kb, Singst (Canto)",,Deutsch/Italienisch (?),,,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 1 Seite Notentext, 1 Leerseite","Querformat, ca. 168 x 261 mm, 10 Notenzeilen, handgeschrieben",,,,,,Blatt ist zugeschnitten und wurde gefaltet gelagert,,"Reinschrift von Liszt mit einigen Rasuren (12taktiger Ausschnitt aus der Partitur, jedoch nicht identifiziert). Auszumachen im ""Canto"" sind die Worte ""Zeugnisse"" und die für den Cantico del Sol typische Silbe ""Lau""(dato). Die Harmonien sind G-Dur und A-Dur (melodische Progression in Halben in der Oboe g-e-h-cis-d-cis). Am Ende der Notation steht der von Liszt geschriebene Hinweis ""Tempo primo"". Aufgrund des fragmentarischen Charakters ist eine Einordnung schwierig, es scheint aus einem größeren Kontext herausgenommen worden zu sein, aber nichts deutet auf einen Zusammenhang hin.",Stelle muss noch identifiziert werden,,wird bestellt,DTie,,,,,,
,,R 105d | S 243 | A60d ,Ungarische Nationalmelodien,D-WRgs,GSA 60/R 2,,,Fragment,,,,x,,,,[No / Ho 3 | Preludio],,Kl,,,,,,,,,,,,,"Liszt (schwarze Tinte, roter Stift?), zS (schwarzer Stift)","1 Blatt, 2 Seiten Notentext [S. 33-34]","Querformat, ??? x ??? mm, 2 Notenzeilen, handrastriert",,,,,,,,"Autographe Fragmente von zwei Kompositionen. Die Recto-Seite zeigt den rhythmisch markanten Beginn in Des-Dur der 6. Ungarischen Rhapsodie, die Verso-Seite ist mit Preludio und von fremder Hand mit ""No / Ho [?] 3."" überschrieben. Es ist aufgrund des abgeschnittenen Notentextes nicht zu ermitteln, worum es sich handelt. Das Papier weist Spuren auf, die von einem roten Stift kommen könnten, sowie viele Rasuren.","Unklar, warum sich das Fragment hier befindet. Der GSA-Hinweis auf R 105 d wohl fehlerhaft, denn zum einen ist das erste Stück der erleichterten Versionen dort in D-Dur, nicht in Des-Dur notiert, zum anderen weist das ""Preludio"" der Nr. 3 keinerlei Ähnlichkeiten auf. ",Was hat es damit auf sich? ,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:202734,DTie, ,,,,,
,,"R 547,4 | S 80 | L2",Les quatre Eléments. Les Astres,D-WRgs,GSA 60/S 11,,,Fragment,,unvollendetes Arbeitsmanuskript | Entwurf,,x,,,,,,"Mch (TTBB), Kl",,Französisch,Hommes epars sur ce globe qui roule,,,,,,,,,,"Liszt (schwarze Tinte, Bleistift) ","11 Blatt zu 5 Bogen und einem Einzelblatt, 21 Seiten Notentext, 1 Leerseite, Bogen gezählt ","1) Hochformat, ??? x ??? mm, 14 Notenzeilen, handrastriert
2) Hochformat, ??? x ??? mm, 12 Notenzeilen, handrastriert",,,Liszt-Museum Weimar,Liszt-Museum Weimar,,"Bogen sind zwei unterschiedlichen Papieren zuzuordnen: 1 (1), 2 (2), 3 (2), 4 (2), 5 (1), 6 (1)",,"Arbeitsmanuskript, das von nahezu fertig ausgearbeiteten bis hin zu äußerst rudimentär skizzierten Passagen reicht. Musikalisch bildet der Beginn das ""heroische"" Thema aus Les Préludes, allerdings ohne die charakteristische Gegenmelodie, ab. Nach dem längeren Klaviervorspiel setzt der Chor zunächst unbegleitet ein [S. 2], Liszt notiert nur den ersten Vers in die Vokalstimmen, ansonsten fehlt der Text. Zur Wiederholung sind die Takte 1 bis 36 durchgezählt. [S. 7] Auflösung der Wiederholung (5-21), auf dieser Seite findet sich nur die Zahlenreihe. Auf [S. 8] ist oben links ""2d Verset"" vermerkt und Liszt notiert ausschließlich die Vokallinie, während die Klavierbegleitung wiederholt wird (22-37 etc); auf [S. 9-11] ist ausschließlich der untextierte Männerchor notiert, teilweise nur auf die Tenorstimme reduziert, so dass das Manuskript hier ein sehr skizzenhaftes Erscheinungsbild aufweist. Die C-Dur Arpeggien des Beginns setzen im untersten System auf [S. 12] wieder ein und formen das Klaviernachspiel, das auf [S. 13] auch mit einem Doppelstrich endet. [S. 14] notiert Liszt mit Bleistift ""Segue 5"", es handelt sich um eine Leerseite und auf dem fünften Bogen folgt der kontrastierende Mittelteil mit einer Linie im ""Violoncello"" in As-Dur. Im Anschluss schreibt Liszt auch wieder den kompletten Text aus, ""Nous vous dirions vers un but ephémère"", allerdings teilweise ungemein flüchtig und schwer leserlich. Ab [S. 17] ist der Text wieder nur sporadisch gesetzt, die Notation der Musik jedoch vollständiger, allerdings mit mehreren Korrekturen. Auf [S. 19] schreibt Liszt mit Bleistift in das Klaviersystem ""Pausen"" sowie im unteren System ""Seite 4 (+) Cres"" und spielt damit auf das Verweiszeichen von [S. 4] an (es ist also nicht Seite 40 gemeint). Auf [S. 20] findet sich lediglich ein langes 16tel Tremolo in der rechten Hand, zu dem Liszt mit Bleistift ""Quint lage"" sowie die Harmonien (""g as g as | gis a"") notiert [über dem ""g"" ist allerdings C-Dur ausgeschrieben). Das Manuskript bricht schließlich mit dem untextierten a capella Chorsatz auf [S. 22] ab. 
Liszt nummerierte die Bogen bzw. das Einzelblatt (4) mit Bleistift.","Sehr merkwürdige Quelle, teilweise hat es den Charakter einer Reinschrift, dann aber wieder fast fragmentarisch. In dem Youtube-Link hat man das Stück jedenfalls rekonstruiert und komplett eingespielt. Auch ist der Text ungewöhnlich schlecht lesbar. ","Bitte Blatt und Bogen zählen, Hilfe auch bei der Text-Transkription",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209256,DTie,https://www.youtube.com/watch?v=8SDIbtjPJVA,,,,,
,,R 671 | S 688 | Q17,"Stanislaus (Chor ""Weh uns!"")",D-WRgs,"GSA 60/B 3f,1",,,Fragment,,Particell,,,,,,Stanislas / (9tes Bild),Liszt mit schwarzer Tinte,"GCh (SATB), Orch",Langsam,,,,,F Liszt Mai 80 - Weimar.,1880-05-xx,,,,,,"Liszt (schwarze Tinte), [Charles Malherbe 116694475] (schwarze Tinte)","1 Blatt, 1 Seite Notentext, 1 Blatt Karton","Hochformat, ??? x ??? mm, 14 Notenzeilen, handrastriert; Hochformat, ??? x ??? mm",,,"[J. A. Stargardt 31644-1], 1966-05","[J. A. Stargardt 31644-1], 1966-05",,"Das Autograph ist auf ein Blatt Karton geklebt, wie man es für Passepartouts verwendet.",,"Das Autograph trägt kleinere Rasuren. Liszt hat unter die letzte rastrierte Notenzeile auf dem unteren Blattrand freihändig eine weitere Notenzeile hinzugefügt.
Oben auf dem Blatt hat der französische Musikwissenschaftler und Komponist [Charles Malherbe 116694475] eine Widmung an den Musikritiker [Michel Dimitri Calvocoressi 129089117] geschrieben: ""à l'ami Calvocoressi j'offre ce petit autographe du grand maître dont il a vu comprendre ex analyses le génie. Ch. Malherbe Juin 1906.""","GSA-Findbuch: Ankauf J.A. Stargardt, Mai 1966",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190559,BV,,,,,,
,1001337839,R 422 | S 105 | G17,Hunnenschlacht,D-WRgs,GSA 60/A 11a,Ms A 11|a,,Ausschnitt,,,,,,Hunnen Schlacht ,Liszt (roter Stift),,,"Orch (Picc, 2 Fl, 2 Ob, 2 Klar in B, 2 Fg, 4 Hr in F, 4 Trp, 2 Tpos, Bpos, Tb, Pk, Vl, Vla, Vlc, Kb)",Tempestuoso. Allegro non troppo,,,,,,,,,,,,"Liszt (schwarze Tinte, blauer und roter Stift)","2 Blatt zu 1 Bogen (1 Titelseite, 3 Seiten Notentext, paginiert)","Querformat, 273 x 347 mm, 24 Notenzeilen, handrastriert",,,,,,,,"Beginn einer sauberen Reinschrift. Nur wenige Rasuren und eine Korrektur der Blechbläser auf der letzten Seite. Der Notentext und die Orchesterbesetzung sind mit schwarzer Tinte geschrieben, die Zusätze von Dynamik, Phrasierung, Tempo etc. sind mit blauem Stift hinzugesetzt. Am Ende der ersten Seite schreibt Liszt mit rotem Stift: ""Die mit Rothschrift angemerkten Bezeichnungen | sind in allen Stimmen auszuschreiben."" Die Notation bricht bei Buchstabe A, welcher von Liszt mit blauem Stift hinzugesetzt ist, ab (Part, GA, S. 8). Außerdem zählte Liszt die Takte und vermerkte die ""30"" mit schwarzer Tinte am Ende seiner Reinschrift.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:190324,DTie,,,,,,
,,R 14/8 | S 173/8,Miserere mei,F-Pn,Ms. 163,,Miserere mei auf der verso-Seite notiert,Fragment,,Entwurf? (Fragment),,x,,,,,,"Singst, MCh, Kl/Org (?)",,Lat,"Miserere mei Deus, secundum magnam misericordiam tuam","""à [M. Gustave Doret 131991701] - faible temoignage de reconnaissance; souvenir de son héroïque amitié: Aigle, 16 Août 1889 - son ami Hugo. - (: Autographe de Franz Liszt, provenant de la collection du [Dr. Gille 117737623], de Iéna; intime | ami de Liszt ...)",quer zur Seite von fremder Hand (Hugo) mit Tinte geschrieben,,,,,,,,Liszt (schwarze Tinte),1 Seite Notentext [verso],"Hochformat, 360 x 255 mm, 12 Notenzeilen, gedruckt (?),
Umschlag: 390 x 285 mm",,,Charles Malherbe Conservatoire Nal de Musique Paris,CHARLES MALHERBE | CONSERVATOIRE NAL DE MUSIQUE PARIS,,,,"Unvollständiger Entwurf mit schwarzer Tinte (Noten- und liturgischer Text) von 24 (?) Takten. Auch hier fehlen jedwede Angaben zur Besetzung, plausibel scheint jedoch Singstimme (Tenor) mit Klavier- oder Orgelbegleitung, die sehr sauber ausgeführt ist. Gegen eine Orgelbegleitung sprechen eventuell die wenigen ausnotierten Bass-Arpeggien im zweiten und vierten System. Der liturgische Text ist nicht mit der im oberen System festgehaltenen Singstimme ""koordiniert"", zudem notiert Liszt ab dem zweiten System nicht nur eine Solo-Vokalstimme, sondern abwechselnd auch einen vierstimmigen Akkordsatz, was eventuell doch auf einen Männerchor hindeuten würde. Gerade die Vokalstimme(n) ist aber weitgehend nur skizziert, teilweise nur mit Strichen ausgeführt. Außerdem ist die Komposition nicht vollendet, ein Schluss fehlt ebenso wie die Auflösung des Verweiszeichens :+: ganz am unteren rechten Ende der Quelle. Merkwürdig scheint auch Liszts kryptischer Kommentar am oberen Blattrand, ""(b | 3 | 1 ?)"".","Abschluss der Koposition entweder wo anders, oder verschollen.","Wer Liszts (wohl einzige?) Quadratnotation in Longae sehen will, der clicke auf den Link
genaue Taktzahl ist mir nicht ganz klar, bitte einmal im Digitalisat prüfen",https://gallica.bnf.fr/ark:/12148/btv1b550020475/f2.item,DTie,,,,,,
,,"R 106,18 | S 244 | A132",Rhapsodie Nr. 18 (Beginn),H-Bami,Fond 2/125,C.577/1969,,Fragment,,Reinschrift (Fragment),,,,,,"Für das ""Ausstellungs Album"" | geschrieben. Rhapsodie | Budapest. | F. Liszt",,Kl,Lento (Lassan),,,,,,,,,,,,"Liszt (schwarze Tinte, roter Stift)","1 Blatt, 1 Seite Notentext, 1 Leerseite","Hochformat, 342 x 265 mm, 10 Notenzeilen, handrastriert",,,,,,"Blatt ist sehr dünn, wurden an mehreren Stellen, so an den Rändern verstärkt",,"Saubere Reinschrift der 18. Rhapsodie (bis Takt 29), danach bricht die Notation mit Liszts Verweis mit rotem Stift (sehr blass) (""weiter Seite 2-"" ab. Mit Ausnahme der Akzente in der NLGA ist der Notentext identisch.",,Das Einzelblatt ist mit 1 paginiert - wo ist der Rest?,wird erstellt,DTie,,,,,,
,,R 484 | S 9 | I2,Graner Messe (Fragment),H-Bn ,Ms. mus. 5.827,V 595-822/1961,,Fragment,,Fragment / Korrektur,,,,,,,,Bass-Solo,,Latein,Domine Deus Rex coeles -,,,,,,,,,,"Liszt (schwarze TInte, blauer Stift)","1 Blatt, 1 Seite Notentext, 1 Leerseite","Querformat, ca. 49 x 175 mm, 3 Notenlinien, handrastriert",,,Orszszéchényi Könyvtár,ORSZSZÉCHÉNYI KÖNYVTÁR,,"Es handelt sich um einen in der Mitte gefalteten ""Schnipsel"", möglicherweise eine gelöste Überklebung aus anderem Zusammenhang",,"Siebentaktiges Fragment (gelöste Überklebung) aus dem Bass-Solo der Graner Messe. Überschrieben mit: ""Solo Stimmen zu den Seiten 27, 28 (angefange[n]"". Dass es sich um einen Zuschnitt handelt ist an der Taktnummerierung mit blauem Stift zu ersehen, die von 1-7 und unten von 10-16 zu erkennen ist.","Man müsste danach fahnden, wo dieser Abschnitt herkommt (laut Eckhardt, S. 34: T. 175 des Gloria)",,wird bestellt (100 Huf pro Scan),DTie,,,,,,
,,"R 563,636,215,345 | S 93,340,554,(626) | EM -",Magyar királi dal / Ungarisches Königslied,H-Bn ,Ms. mus. 1.210,,,Fragment,,Albumblatt / Fragment,,,,LISZT | * | MAGYAR | KIRÁLY-DAL,"auf dem ledernen Teil des Umschlags mit goldenen Lettern gedruckt; ganz unten die Lettern/Initialien(?) ""N.M."" ",Magyar Király-dal. | Egy régi magyar dallam után),,[Singst],Marziale,Ungarisch,"Mint Magyar, hazámnak hü fia",,,,,,,,,,Liszt (schwarze Tinte),"1 Blatt, 1 Seiten Notentext, 1 Leerseite","Querformat, 136 x 240 mm, 4 Notenzeilen, handrastriert
Umschlag mit braunem Ledersaum und Schneckenmarmorpapier, 143 x 248 mm 

",,,Orszszéchényi Könyvtár,ORSZSZÉCHÉNYI KÖNYVTÁR,,"Extrem stark beschädigtes Einzelblatt, Faltung in der Mitte mit Klebstreifen verstärkt, zudem ist das ganze Papier ""eingeschweisst""
in Umschlag eingebunden",,"Zehn Takte Skizze der Königs-Melodie mit schwarzer Tinte, mit Liszt Ferencz signiert. ",,,wird bestellt (100 Huf pro Scan),DTie,,,,,,
,,R 492a | S 16/1 | K6,De profundis,H-Bn ,Ms. mus. 5.632,Sz 522/73/6/74,,Fragment,,Arbeitsmanuskript (quasi Fragment),,,,,,"De profundis (Stanislas) | SchlussNummer | Einleitungs zu dem Psalm ""De profundis"" (gedruckt)",Liszt (schwarze Tinte),"MCh (TB), Kl",Lento,Latein,De profundis clamavi,,,,,,,,,,"Liszt (schwarze Tinte [zwei Federn unterschiedlicher Stärke], blauer Stift)","2 Blatt zu 1 Bogen, 3 Seiten Notentext, 1 Leerseite, nachträglich foliiert","Hochformat, 343-278 mm, 12 Notenzeilen, handrastriert",,,Orszszéchényi Könyvtár,ORSZSZÉCHÉNYI KÖNYVTÁR,,Der Bogen wurde in der Mitte gefaltet aufbewahrt,,"Arbeitsmanuskript mit der Einleitung zum Schlussstück aus dem Stanislas-Oratorium (ergo eine Wiederverwertung des Psalms 129, De profundis). Relativ sauberer Notentext aber vor allem zu Beginn an viele Rasuren und Korrekturen bzw. Pedalhinzufügungen mit einer außerordentlich intensiven und dichten schwarzen Tinte/Feder. Beim Einsatz des Männerchors im letzten System auf der ersten Seite notiert Liszt, ""Begleitung | tacet"" und zieht einen langen Bogen, bis das tiefe Bass-Tremolo im letzten Takt auf der Seite wieder anhebt. Genauso verhält es sich von der Disposition her auf Blatt 1v. Hier notierte Liszt im letzten Takt ""weiter | Seite 3 | (geschrieben)"", strich dies jedoch wieder mit blauem Stift durch. Ursprünglich verweist er damit auf den Wechsel zwischen Druck und Manuskript in der anvisierten Zielquelle (H-Bn Ms. mus. 6.056). Auf Blatt 2r ist die erste Zeile mit blauem Stift gestrichen und wird durch eine, wiederum reich rasierte, Alternative darunter ersetzt. Das Manuskript bricht unvermittelt ab, ohne dass Liszt Informationen über den Anfügungsort notiert.",Nimmt offensichtlich Bezug auf die Quelle H-Bn Ms. mus. 6.056,,wird bestellt (100 Huf pro Scan),DTie,,,,,,
,,R 480 | S 5 | I1,Die heilige Cäcilia. Legende,H-Bn ,Ms. mus. 5.599,V 549-72/2/1973,,Fragment,,(unvollständige) Reinschrift,,,,,,Sainte Cecile,Liszt (schwarze Tinte),"Mezzo-S, Orch (2 Fl, 2 Ob, 2 Klar, 2 Fg, 4 Hr, Pk, Hrf, Vl, Vla, Vlc, Kb)",Andante,Französisch,C'était une Dame romaine une dame de très haut rang qui jadis,,,,,,,,,,"Liszt (schwarze Tinte, zinnoberroter Stift, Bleistift)","2 Blatt zu 1 Bogen, 4 Seiten Notentext, paginiert","Hochformat, 348 x 269 mm, 32 Notenlinien, handrastriert",,,Orszszéchényi Könyvtár,ORSZSZÉCHÉNYI KÖNYVTÁR,,Der Bogen wurde zweimal gefaltet aufbewahrt,,"Sehr sauber geschriebenes Manuskript, dass allerdings unvollständig ist und mit dem Ende des Bogens bei Takt 156 abbricht. Liszts setzte mit dem zinnoberroten Stift ein Verweiszeichen direkt nach dem Titel und notiert ganz unter der Partitur: ""Die liturgische Antiphona: ""cantibus organis Caecilia Domino decantabat"" bietet diesem | Gesange einen beständigen, gleichsam goldnen Grund"". Die ""Stimme"" wird nur zu Beginn als ""MezzoSopran"" identifiziert und im weiteren Verlauf schlicht ""Stimme"" genannt. Neben wenige kleinen Korrekturen durch Rasuren fällt auf, dass Liszt die einzelnen Orchesterparts graphisch mit dem zinnoberroten Stift voneinander abhebt und den gesamten Streicherkorpus mit einer geschweiften Klammer zusammenbindet. Letztere werden im weiteren Verlauf mit unterschiedlichen Ziffern annotiert, deren Bedeutung sich nicht erschließt, da sie weder eine Taktzahl, eine Aufteilung der Streicher oder sonstige augenscheinliche Funktion zu haben scheinen. Im zweiten System ergänzt er Teile des Textes mit Bleistift und streicht die Takte 7-9 mit diesem und dem zinnoberroten Stift, dazu notiert er darüber: ""Vide 12 Takte"", die jedoch auf dieser Quelle nicht auszumachen sind. Die Reinschrift bricht auf Blatt 2v unvermittelt ab, Liszt fügt eine lange Klammer mit dem zinnoberroten Stift durch die gesamte Partitur durch und notiert am unteren Ende die Zahl ""13"", zugleich mit dem Einsatz der Harfenarpeggien. Auch der Gesang bricht bei den Worten ""Tous les Arts"" ab. Die Paginierung stammt nur auf der ersten Seite von Liszt (zinnoberroter Stift) und wurde von fremder Hand mit Bleistift fortgesetzt. ",Wo ist der Rest der Reinschrift? und das etwaige Korrekturblatt),,wird bestellt (100 Huf pro Scan),DTie,,,,,,
,,R 538 | S 68 | L12,Zur Säkularfeier Beethovens (2. Beethoven-Kantate),H-Bn ,Ms. mus. 261,1911 év 22 sz.,,Fragment,,Reinschrift (unvollständig),,,,,,Clavierauszug -,der eigentliche Titel fehlt,Kl,[Sehr langsam],,,,,26 Janvier | 70 - | Villa d'Este | FLiszt.,1870-01-26,,,Villa d'Este,,4431211-8,"Liszt (schwarze Tinte, blauer und roter Stift, Bleistift)","6 Blatt zu 3 Bogen, 7 Seiten Notentext, 5 Leerseiten,
rotbrauner Einband mit geädertem Kleisterpapier, 2 Blatt Schutzpapier","Hochformat, 424 x 290 mm, 30 Notenzeilen, handrastriert
rotbrauner EInband mit geädertem Kleisterpapier, 427 x 295 mm
",,,M. N. Múzeum Könyvtára Kézirait Növedéknapló,M. N. MÚZEUM KÖNYVTÁRA Kézirait Növedéknapló,,"Die drei Bögen sind an ihrer Außenkante verstärkt und mit einem rotbraunen Einband zusammengebunden. Das Papier selbst weist eine sehr gewaltsame Beschädigung auf, die ein Loch sowie schräg dazu verlaufende Schnitte auf fast allen Blättern nach sich zog, die jedoch resteuriert wurden. Die Quelle wurde zudem in der Mitte gefaltet aufbewahrt.",,"Saubere Reinschrift mit nur wenigen Korrekturen und Rasuren. Sporadisch setzt Liszt Instrumentenangaben zum Klavierauszug hinzu. Auf S. 4 (= Blatt 4r) beginnt der zweite Abschnitt ""Sehr langsam"" in E-Dur; auch hier schrieb Liszt, diesmal mit Bleistift, ""Clavierauszug"" darüber. Mit dem blauen Stift ergänzt Liszt in T. 3 auf S. 1 einen Tremolo-Balken, ansonsten werden fast alle Korrekturen mit Rasuren und schwarzer Tinte durchgeführt. Nur auf der letzten Seite 7 (Blatt 5v) erfolgt eine größere Streichung von 26 Takten mit rotem Stift sowie die Korrektur/Alternative am unteren Ende der Seite (nur noch 14 Takte, 5 davon Generalpause). Besonders ist auch Liszts Paginierung, er zählt alle beschriebenen Notenseiten mit zinnoberrotem Stift (1-7) durch und die Musik des zweiten Abschnitts separat mit Bleistift mit Buchstaben (A-D). ",,"Ich frage mich, wo der große Schaden am Papier herrührt?",wird bestellt (100 Huf pro Scan),DTie,,,,,,
