"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr.,"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Ausgabeform (Typ),Funktion,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. (falls vorhanden),Titelei Umschlag oder Titelblatt,Digitalisat Titelei,Widmung (diplomatisch),Verlag,Verlags GND-Nr.,Ort (normiert),GND-Nr. Ort,Plattennummer,Stecherei,Stecherei GND-Nr.,Preis,Abbildung (figurativ),Druckumfang,Drucktyp,Kopftitel,Besetzung (normiert),Tempoangabe (normiert),Metronomangabe,Sprachcode ,Text-Incipit (diplomatisch),Titel Umschlag und/oder Titelblatt (handschriftliche Zusätze),Kopftitel (handschriftliche Zusätze),Geschenkvermerk (handschriftlich) (diplomatisch),Datierung (diplomatisch),Datierung (maschinenlesbar),Ort (handschriftlich) (normiert),GND-Nr. Ort,Schrift (Liszt egh.),Schrift (zS/fremde Hand),Umfang,Papiermaß,Wasserzeichen (intern),Provenienz Station 1,Provenienz Station 2,Provenienz Station 3,Provenienz Station 4,Personen,Datierung ermittelt (maschinenlesbar),Datierung Ort ermittelt (normiert),Ort ermittelt GND-Nr.,Beschreibung physischer Merkmale / Zustand der Quelle (intern), Inhalt (interner Vermerk),"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.)",Datierung Erstauflage,Kommentar Datierung Erstauflage
,1001310105,R 593b | S 269/2 | N1,Angiolin dal biondo crin,D-WRgs,GSA 60/D 47,Ms D 47,,Partitur,Korrekturabzug,,,,,,,A. M. Schlesinger,1073054446,Berlin ,4005728-8,S. 2824,,,,,S. 3-7,Plattendruck,ANGIOLIN DAL BIONDO CRIN. | ENGLEIN HOLD IM LOCKENGOLD. | ROMANZA | composta | per TENORE da | F. LISZT.,"T, Kl",Andante placido,,Italienisch | Deutsch,Angiolin dal biondo crin | Englein hold im Lockengold,,,,,,,,schwarze und rote Tinte,Dr (Rötel),"3 Blatt zu 1 Bogen und 1 Einzelblatt (5 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 321-330 x 276 mm, 8-12 Notenzeilen",,,,,,,,,,,,"Liszt notiert mit schwarzer Tinte über dem Liedtitel auf S. 3: ""Bitte 2t Corr | FLiszt [?]"". Er korrigiert mit schwarzer und rot-violetter Tinte im Notentext und notiert die Korrekturen zusätzlich am Rand. Die vielen Korrekturen betreffen einzelne Noten, Vorzeichen, Dynamik und Phrasierung.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191504,UR,,,,2,12
,,,Angiolin dal biondo crin. Romanza,US-NYpm,PMC 185,,,Partitur,Korrekturabzug,,,,,,,A. M. Schlesinger,1073054446,Berlin ,4005728-8,S. 2824,,,,,,Plattendruck,"ANGIOLIN DAL BIONDO CRIN. | ROMANZA | composta | da | F. LISZT | ""(Poesia dal Maschere | Cesare Bocella.)""","Singst, Kl",Andante placido,,Italienisch,Angiolin dal biondo crin,,"Der Zusatz in Klammern wurde von Liszt mit roter Tinte ergänzt; ""(Poesia dal Maschere | Cesare Bocella.)""",,,,,,rote Tinte,fremde Hand (Bleistift),"4 Blatt zu 2 Bogen (7 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 278 x 216 mm, 9-12 Notenzeilen",,,,,,,,,,"Papier des Korrekturabzuges ist extrem dünn, entsprechend stark abgenutzt und fragil; Maße der beiden Bögen sind nicht ganz identisch, mehrfach geknickt",,"Korrekturabzug mit zahlreichen Eintragungen und Korrekturen durch Liszt mit roter Tinte. Diese betrifft Dynamik, Text, Spielanweisungen, aber auch einzelne Noten (bspw. auf S. 4). Zur Deutlichkeit nutzt Liszt auch Tonbuchstaben. Die Tinte ist dabei phasenweise sehr stark auf dem Blatt verlaufen.
Von fremder Hand findet sich auch eine Bleistiftkorrektur des Textes im letzten Takt auf S. 5 (""dal"" statt ""del""). Unklar, welche Hand, möglicherweise Drucker.","S. 4-9
Korrekturen Liszts müssten mit der gedruckten finalen Version abgeglichen werden
selbe Art wie PMV 0202",,"photographiert, Digitalisat wird bestellt",DTie,,,,2,13
,nicht eingetragen,R 495b,Anima Christi santifica me,D-WRgs,GSA 60/C 31,,,Partitur,Korrekturabzug,,,,Zwölf | Kirchen-Chor-Gesänge | mit Orgelbegleitung | von | FRANZ LISZT.,,,C. F. Kahnt Nachfolger,5274010-9,Leipzig ,4035206-7,2471a/12,,,60 Pf.,,"Titelseite, S. 3-7",,X. | Anima Christi sanctifica me.,"MCh (TTBB), Org","Andante, non troppo lento",,Lateinisch,Anima Christi sanctifica me,,,,,,,,,"Dr? (Bleistift, roter Stift)","4 Blatt zu 2 Bogen (1 Titelseite, 5 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 271 x 170 mm, 12 Notenzeilen",,"1970-xx-xx, [Günther Kraft 134171632], GSA-Findbuch",,,,,,,,,,"Kleinere Korrekturen von Noten- und Gesangstext, etwa Bindeböge Kommata (Bleistift, rosa Buntstift).","GSA-Findbuch: Ankauf von Prof. [Günther] Kraft, Weimar 1970",Die Stücke der Sammlung wurden auch als Einzeldrucke vertrieben. Die Seitennummerierung erfolgt für jedes Stück separat.,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191255,BV,,,,,14
,,,Annés de Pelerinage III,US-Wc,ML96 .L58 (Case),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plattengröße: Hochformat, 280 x 207 mm | Handschriftliches Titelblatt: Hochformat, 350 x 268 mm",,,,,,,,,,,,,,,https://hdl.loc.gov/loc.music/musliszt.100618,,,1927,unten links auf jedem Stimmsatz gedruckt,,15
,1001239840,R 552 | S 82 | M16,Arbeiterchor,D-WRgs,GSA 60/E 1,"Ms E, 1",,Partitur,Korrekturabzug,,,,,,,Tobias Haslinger's Witwe und Sohn,2092120-2,Wien ,4066009-6,T. H. 10986,,,,,S. 3-27,Plattendruck,,"B, MCh (TTBB), Kl",Allegro deciso,,Deutsch,"Herbei, herbei, den Spath und Schaufel ziert",,,,,,,,"schwarze und rote Tinte, Rötel","Dr (Rötel), zS oder Dr (Bleistift)","25 Blatt (25 Seiten Notentext, 25 Leerseiten, paginiert)","Hochformat, 338 x 262 mm, 10 Notenzeilen",,,,,,,1848-03-01-xxxx-xx-xx,,,,,"Liszt notiert auf der Rückseite von S. 3 mit schwarzer Tinte: ""Lieber [Karl 116513772], da die Zeitumstände einen ganz abnormen Comentar zur Arbeiterfrage liefern, so könnte es zwekmässiger [sic] erscheinen die Publication dieses Arbeiter Chor's aufzuschieben. Darüber gebe ich Ihnen die Entscheidung anheim. FLiszt"". Er korrigiert mit Rötel und roter Tinte und notiert die Korrekturen zusätzlich am Rand. Eine Hand in Bleistift korrigiert in erster Linie den gesungenen Text und trägt den Zeilumbruch ein. Die vielen Korrekturen betreffen einzelne Noten, Vorzeichen, Dynamik und Phrasierung. Auf S. 23 sind zudem zwei Takte komplett gestrichen. 
Datierung: Aufgrund des handschriftlichen Hinweises auf die ""Zeitumstände"" dürfte die Korrekturfahne kurz nach März 1848 entstanden sein.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191651,SKol,,,,,16
,"1001249459
",R 497 | S 38 | J24,Ave Maria,D-WRgs,GSA 60/C 12,,,Partitur,Korrekturabzug,,x,1001249304,Zwölf | Kirchen-Chor-Gesänge | mit Orgelbegleitung | von | FRANZ LISZT.,,,C. F. Kahnt Nachfolger,5274010-9,Leipzig ,4035206-7,1440/2,,,60 Pf.,,"Titelseite, S. 3-5",,II | Ave Maria.,GCh (SATB),Andante pietoso,[Viertel] = 104,Lateinisch,"Ave Maria, gratia plena",,,,,,,,,"Dr? (Bleistift, roter Stift)","3 Blatt zu 1 Bogen und 1 Einzelblatt (1 Titelseite, 3 Seiten Notentext, 1 Seite Text, 1 Leerseite, paginiert und foliiert)","Hochformat, 268 x 170 mm, 12 Notenzeilen",,"1970-xx-xx, [Günther Kraft 134171632], GSA-Findbuch",,,,,,,,,,"Leichtere Korrekturen (Bleistift, rosa Stift) hauptsächlich des Gesangstextes.","GSA-Findbuch: Ankauf von Prof. [Günther] Kraft, Weimar 1970",Korrekturabzug befindet sich auf Blatt 13r-15v. Die Stücke der Sammlung wurden auch als Einzeldrucke vertrieben. Die Seitennummerierung erfolgt für jedes Stück separat.,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191022,BV,,,,,17
,,R 640,Ave Maria,H-Bn,Ms. mus. 202,,A. M. N. Múzeum Könyvtára,,,,x,,"AVE MARIA | von | FRANZ LISZT | für | eine Singstimme mit Begleitung | (Orgel, Harmonium oder Klavier). | (Nachgelassenes Werk) | [nach dem Original des Meisters herausgegeben von K. GOEPFHART, Weimar]. ",,,Georg Plothow,1073055140,Berlin ,4005728-8,G. 281 P,,,,,,Lithographie (?),"""Ave Maria""",,Andante quieto,,Lateinisch,"Ave Maria, Dominum tecum",,,,,,,,,,"2 Blatt zu 1 Bogen (1 Titelseite, 2 Seiten Notentext, 2 Leerseite, pagineirt)","Hochformat, 321 x 257 mm, 9-12 Notenzeilen",,,,,,,,,,,,"Erstveröffentlichung der Version des Ave Maria mit Gesang und Begleitung (Kl, Org, Harm), posthum 1906.",Bei dem Druck könnte es sich um den Erstdruck handeln.,,wird bestellt,DTie,,,,,18
,,"R 401 (68,1)",Ave Maria von Arcadelt,D-WRgs,GSA 60/Y 4,,,,Korrekturabzug,,x,,,,,,,,,264,,,,,,Plattendruck,II | Ave Maria | von Arcadelt. | (16. Jahrhundert),,Andantino,,,,,"Die römische Ziffer ""II"" ist von Liszt mit blauem Stift handschriftlich ergänzt.",,,,,,"schwarze Tinte, roter und blauer Stift",,"3 Blatt (3 Seiten Notentext, 3 Leerseiten, paginiert)","Querformat, ??? x ??? mm",,,,,,,,,,,,"Liszt nimmt etliche Korrekturen und auch Ergänzungen vor, so fügt er etwa Fingersatz hinzu (blauer Stift). Manche Korrekturen verdeutlicht er durch kleine Notenskizzen. Vor allem im Pedal komponiert er einzelne Takte neu (schwarze Tinte, roter Stift), wozu er ebenfalls kleine Notenskizzen fertigt (schwarze Tinte) .",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209800,BV,,,,,19
,,R 195 (499),Ave maris stella,D-WRgs,GSA 60/U 49,,,Partitur,korrigierter Druck,,x,,AVE MARIS STELLA | von | FRANZ LISZT. | Transcription | für das | Pianoforte | vom | COMPONISTEN. ,,,C. F. Kahnt ,107297469X,Leipzig ,4035206-7,1388,,,10 Ngr.,,"Titelseite, S. 3-7",Plattendruck,AVE MARIS STELLA ,Harm/Kl,"Andante sostenuto, piuttosto lento",,Lateinisch,Ave maris stella Dei mater alma,,,,,,,,"schwarze Tinte, blauer Stift",,"4 Blatt zu 1 Bogen und 2 Einzelblatt (1 Titelseite, 5 Seiten Notentext, 2 Leerseiten)","Hochformat, ??? x ??? mm, 6-10 Notenzeilen",,,,,,,,,,,,"Geringe Korrekturen des gedruckten Notentextes auf den ersten beiden Seiten. Liszt trägt konsequent den Text des Hymnus mit Tinte über der Melodie ein. Ab S. 5 des Drucks ändert sich jedoch die Qualität der Quelle radikal, denn Liszt beginnt hier, eine Fassung für Harmonium mit einzutragen und hierfür instrumentenspezifische Änderungen vorzunehmen. Zunächst, indem er die Oktaven der rechten Hand auf die Einstimmigkeit reduziert und notiert, ""etc. immer | ohne | 8Octaven"". Er schreibt die erste Zeile des Harmoniums über den Notentext, auf mit blauem Stift freihändig gezogenen Notenlinien, und setzt auch die Besetzung ""Harmonium"" davor. Eine weitere rhythmisch bedeutende Korrektur ist die Modifikation der Achtelrepetitionen mit quasi synkopischen Haltebögen auf dem jeweils vierten Akkord, was der Begleitung etwas Federndes/Schwebendes verleiht. Zudem zwei kleine Korrekturen unten im letzten System. Auf S. 6, wo die Melodie des Hymnus eine sehr pianistische Einkleidung erfährt, setzt Liszt mit blauem Stift ein Verweiszeichen und schreibt, ""Vide Harmonium (Separat Blatt), was [S. 11/12] des Digitalisats entspricht [= Zeile 526 im Reiter Autographe]. Auf der Schlussseite nimmt Liszt eine kleine Modifikation der Es-Dur Akkorde, die er mit Verweiszeichen markiert und auf mit blauem Stift frei gezogenen Notenlinien unter dem Druck notiert. Der Penultimaklang wird ebenfalls korrigiert (von e1 auf g1), was Liszt zusätzlich mit ""sol"" rechts neben dem System verdeutlicht.","Hochspannend, wie Liszt wohl im Verlauf der Korrektur sich entscheided, noch eine Version für Harmonium herzustellen, sicher bietet sich heir ein Blick auf die von Boris bearbeiteten geistlichen Kompositionen unter den Sigla 60/C an.",Text: Autograph von Liszt mit schwarzer Tinte,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:209468,DTie,,,,,20
,nicht eingetragen,R 499a | S 34/1 | J19,Ave Maris stella,D-WRgs,"GSA 60/C 19,1",,,Partitur,Korrekturabzug,,,,Zwölf | Kirchen-Chor-Gesänge | mit Orgelbegleitung | von | FRANZ LISZT.,,,C. F. Kahnt Nachfolger,5274010-9,Leipzig ,4035206-7,1302/8,,,60 Pf.,,"Titelseite, S. 2-7",,VII. | Ave Maris stella.,"GCh (SSTB), Org",,,,,,,,,,,,,"Dr? (Bleistift, Rötel, roter Stift)","4 Blatt zu 2 Bogen (1 Titelseite, 6 Seiten Notentext, paginiert)","Hochformat, 268 x 168 mm, 10-15 Notenzeilen",,"1970-xx-xx, [Günther Kraft 134171632], GSA-Findbuch",,,,,,,,,,"Die vorgenommenen Korrekturen (Bleistift) betreffen hauptsächlich den Gesangstext, dazu auf erster Notenseite oben der Vermerk (rosa Stift): ""Text genau wie in der Ausgabe für Männerstimmen!"", daneben wenige Ergänzungen und Korrekturen von Phrasierungsbögen (rosa Stift).","GSA-Findbuch: Ankauf von Prof. [Günther] Kraft, Weimar 1970",Die Stücke der Sammlung wurden auch als Einzeldrucke vertrieben. Die Seitennummerierung erfolgt für jedes Stück separat.,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191093,BV,,,,,21
,nicht eingetragen,R 499b | S 34/2 | J19,Ave Maris stella,D-WRgs,"GSA 60/C 19,2",,,Partitur,Korrekturabzug,,,,Zwölf | Kirchen-Chor-Gesänge | mit Orgelbegleitung | von | FRANZ LISZT.,,,C. F. Kahnt Nachfolger,5274010-9,Leipzig ,4035206-7,1448/9,,,60 Pf.,,"Titelseite, S. 3-7",,VII (Bis) | Ave Maris stella.,"MCh (TTBB), Org",,,,,,,,,,,,,"Dr? (Bleistift, Rötel, roter Stift)","4 Blatt zu 2 Bogen (1 Titelseite, 5 Seiten Notentext, 1 Leerseite, paginiert)","Hochformat, 269 x 170 mm, 12-16 Notenzeilen",,"1970-xx-xx, [Günther Kraft 134171632], GSA-Findbuch",,,,,,,,,,"Hauptsächlich Textkorrekturen (rosa Stift und Bleistift), wenige Phrasierungsbögen ergänzt (rosa Stift).","GSA-Findbuch: Ankauf von Prof. [Günther] Kraft, Weimar 1970",Die Stücke der Sammlung wurden auch als Einzeldrucke vertrieben. Die Seitennummerierung erfolgt für jedes Stück separat.,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191100,BV,,,,,22
