"(Verknüpfung)
Identifier | Nr.",RISM ID no.,WVZ-Nr. (R | S | E/M),"Titel (normiert, nach MGG)",Bestandeshaltende Institution,"Signatur, neu","Signatur, vormalig",Besitzvermerk (intern),Ausgabeform (Typ),Funktion,Übergeordnete Quelle,Untergeordnete Quelle,RISM-Nr. der übergeordneten Quelle,Titelei Umschlag oder Titelblatt,Autor Titelei (Liszt egh.),Kopftitel,Autor Kopftitel (Liszt egh.),Besetzung (normiert),Tempoangabe (normiert),Metronomangabe,Sprachcode,Text-Incipit (diplomatisch),Widmung (diplomatisch),Datierung (diplomatisch),Datierung (maschinenlesbar),Ort (normiert),GND-Nr. Ort,Schrift (Liszt egh.),Schrift (fremder Hand),Umfang,Papiermaß,Wasserzeichen (intern),Verlag (normiert),Bezug zu Druck: Verlags-GND-Nr.,Bezug zu Druck: Plattennr.,Provenienz Station 1,Provenienz Station 2,Provenienz Station 3,Provenienz Station 4,Datierung ermittelt (maschinenlesbar),Ort ermittelt (normiert),Ort ermittelt GND-Nr.,Beschreibung physischer Merkmale,Inhalt,"Notizen zur Quelle (vormals ""Beschreibung"", bleibt intern)",Kommentar zur Quelle (intern),Kommentar intern / Fragen (interne Kommunikation),Digitalisat,Bearbeiter,"Weiterführende Informationen (Ausgaben, Permalinks etc.) (intern)",Quellenautorität (für die Abbildung der Reiterstruktur in der Datenbank),Schreiber Umschlag/Titelblatt Bezug zu O,Schreiber Kopftitel Bezug zu Q,Schreiber zu AB gehörig bitte mit Information in AC kombinieren 
,1001251612,R 508 | S 19 | J2,Hymne de l'enfant à son réveil,D-WRgs,GSA 60/C 20,,,Partitur,,,,,,,Hymne de l'enfant à son réveil | Poesie de Lamartine,schwarze Tinte,"S, FCh (SSA), Harm/Kl",Andante,,Französisch,O père qu'adore mon père,,18 Fevrier | Rome | 62,1862-02-18,Rom,4050471-2,"sepia Tinte, roter und blauer Stift",,"6 Blatt zu 3 Bogen (Fadenheftung, 12 Seiten Notentext, paginiert)","Hochformat, 266 x 170 mm, 20 Notenzeilen, gedruckt; Überklebung S. 1a, Querformat, 77 x 161 mm, 5 Notenzeilen, gedruckt; Überklebung S. 12a, Querformat, 60-63 x 159 mm, 5 Notenzeilen, gedruckt",,,,,,,,,,,,,,"Das Autograph weist zahlreiche Bearbeitungsspuren auf, so ist das erste System der Partitur mittels Überklebung (roter Siegellack) durch einen neuen Beginn der Komposition ersetzt (S. 1). Für den Schluss der Komposition war auf der letzten Seite des Autographs kein Platz mehr, so dass Liszt ihn auf einem abgeschnittenen Blatt von 5 Notenzeilen notierte und dieses mit rotem Siegellack unten an die letzte Seite klebte. Auf diesem kleinen angeklebten Blatt befindet sich auch die Datierung. Von diesen beiden Auffälligkeiten abgesehen finden sich die für Liszt üblichen Bearbeitungsspuren, wie verschiedene Ergänzungen von Dynamik oder Crescendo-Pfeilen (roter und blauer Stift), aber nur wenige, kleine Streichungen, Rasuren. Auf S. 10 benötigt Liszt unten für die linke Hand bzw. auf S. 11 beide Hände des Harmoniums bzw. des Klaviers eine weitere Notenzeile bzw. zwei weitere Notenzeilen, die er per Hand dazu setzt. Auf S. 11 ist der eine auf diese Weise hinzugefügte Takt allerdings wieder gestrichen (roter Stift).",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191212,BV,,,,Franz Liszt,Franz Liszt,
,1001270000,R 18 | S 176 | S167,Großes Konzertsolo,D-WRgs,GSA 60/I 20,,Liszt-Museum Weimar,Partitur,,x,,,"späteres ""Concerto pathétique""",,,,Kl,,,,,,,,,,"schwarze und Tinte, Bleistift",,"11 Blatt zu 3 Bogen und 5 Einzelblatt (1 Titelseite, 18 Seiten Notentext, 3 Leerseiten, teilpaginiert)",,,,,,,,,,,,,,,Die Quelle beinhaltet Liszts Arbeitsmanuskript sowie zwei Skizzenblätter.,,Titelei: geschrieben von Archivar (Bleistift),https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192156,DTie,,,,,Franz Liszt,
,1001270016,R 18 | S 176 | S167,Großes Konzertsolo,D-WRgs,GSA 60/I 20,"Ms I, 20",Liszt-Museum Weimar,Partitur,,,x,1001270000,"Nr. 1 | späteres ""Concerto pathétique"" | Gille's Hand | Grand Concerto Solo pour | le Conservatoire Paris | 1850",,Titre | Grand Solo | écrit pour le Concours de Piano | Conservatoire de Paris (1850),schwarze Tinte,Kl,Allegro energico,,,,,Conservatoire de Paris (1850).,1850-xx-xx,Paris,4044660-8,"schwarze und sepia Tinte, Bleistift",,Blatt 1r-9r (von 11 Blatt),"Querformat, 274 x 349 mm, 20 Notenzeilen, handrastriert; Überklebung S. 1a, Querformat, 83 x 348 mm, 6 Notenzeilen, handrastriert; Überklebung S. 1b, Querformat, 35 x 113 mm, 2 Notenzeilen, handrastriert; gelöste Überklebung S. 6a, Querformat, 272 x 339 mm, 20 Notenzeilen, handrastriert; Überklebung S. 8a, Querformat, 115 x 342 mm, 9 Notenzeilen, handrastriert; Überklebung S. 8b, Querformat, 43 x 338 mm, 3 Notenzeilen, handrastriert",,,,,,,,,,,,Sämtliche Überklebungen stammen vom gleichen Papier wie das Autograph.,,"Arbeitsmanuskript von Liszt mit vielen Überklebungen und Streichungen. Auf S. 2 sind die oberen drei Systeme sowie die ersten beiden Takte des vierten Systems überklebt, dazu oben links Bleistifthinweis von Liszt, ""NB pour Raff"". Dieser findet sich auch unten auf S. 4. Manuskript weist viele Striche auf, deren Korrektur aber vor allem ""kosmetischer"" Natur zu sein scheinen (S. 4). Die Überklebung auf S. 6 wurde teils abgerissen, wie die Papierreste und der Ausriss der oberen rechten Ecke zeigen. Titel und Datierung am Ende auf S. 13.",,"Titelei: Raabe (roter Stift, Bleistift), Gille (Bleistift)
Nr. 1 mit rotem Stift geschrieben. Beide Titel mit Bleistift, linker Hinweis auf das Concerto pathétique von Raabe (?), rechte Zuschreibung wie von einer weiteren Hand mit Bleistift notiert, von Carl Gille
Concerto bei Grand Concerto Solo gestrichen
Kopftitel: unten auf S. 13 [S. 15]
Datierung auf S. 13
Umfang: 9 Blatt zu 3 Bogen und 3 Einzelblatt (1 Titelseite, 14 Seiten Notentext, 3 Leerseiten, paginiert)",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192156,DTie,,,,Franz Liszt,Franz Liszt,
,1001249771,R 526 | S 30 | J20,Responsoria et Antiphonae,D-WRgs,GSA 60/C 14,,,,,x,,,,,,,"MCh (TTBB), Org ad lib. ",,,,,,,,,,"sepia und schwarze Tinte, roter Stift",,"32 Blatt zu 16 Bogen (55 Seiten Notentext, 11 Leerseiten, teilpaginiert)","Hochformat, 352 x 270 mm, 12 Notenzeilen, handrastriert, geprägt (LARD-ESNAULT | Paris | 25 RUE FEYDEAU)",,,,,,,,,,,,"die ersten 4 Blätter sind nicht paginiert, ab Blatt 5 beginnend mit Seitenzahl ""1"" paginiert (Liszt, roter Stift), Leerseiten zwischen verschiedenenen Festen bezieht Liszt nicht in die Paginierung ein, die 2 Seiten, auf denen Liszt Varianten notiert versieht er mit den Seitenbezeichnungen ""X"" und ""X_""",,"Sorgfältig geschriebenes Autograph von Liszt, an dem er lediglich kleinere Korrekturen und Rasuren vorgenommen hat.","Dem Digitalisat nach zu urteilen liegt der zweite Bogen der Quelle falsch. Er muss nicht im ersten Bogen liegen, sondern für sich hinter dem ersten Bogen. Ein anscheinend leeres Blatt, das letzte von ""Feria V in coena Domini"" ist im Digitalisat ausgelassen.",Keine Angaben zur Besetzung (nochmals überprüfen). ,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191025,BV,,,,Franz Liszt,Franz Liszt,
,1001249788,R 526 | S 30 | J20,In nativitate Domini,D-WRgs,GSA 60/C 14,,,,,,x,1001249771,,,In Nocte Nativitatis Domini ad Matutine - | Respons,schwarze Tinte,,,,Lateinisch,"Gloria in excelsis Deo $ Gloria Patri et Filio et Spiritui Sancto $ Hodie illuxit nobis $ Dicite, quidnam vidistis? Gloria Patri et Filio et Spiritui Sancto $ Ave Maria, gratia plena $ Beata, quae credidit $ Benedicta tu inmulieribus $ Dies sanctificatus illuxit nobis $ Omnia per ipsum facta sunt $ Gloria Patri et Filio et Spiritui Sancto",,,,,,,,Blatt 1r-4r (von 32 Blatt),,,,,,,,,,,,,,,"Im ersten Notensystem genügte Liszt der Platz zum Schreiben nicht, daher verlängerte er am rechten Rand die Notenlinien per Hand. Lediglich die Rasur einer die falschen Notenzeilen miteinander verbindenden geschweiften Klammer fällt auf. Kleine Rasur zur Korrektur des Gesangstextbeginns.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191025,BV,,,,Franz Liszt,,
,1001249796,R 526 | S 30 | J20,Feria V in coena Domini,D-WRgs,GSA 60/C 14,,,,,,x,1001249771,,,Feria V. in Coena Domini,schwarze Tinte,,,,Lateinisch,"In monte oliveti oravit ad Patrem $ Vigilate et orate $ Tristes est anima mea $ Ecce appropinquat hora $ Ecce vidimus eum $ Vere languores nostros ipse tulit $ Amicus meus $ Bonum erat ei $ Judas, mercator pessimus $ Melius illi erat $ Unus ex discipulis $ Qui intingit mecum manum in $ Eram quasi agnus innocens $ Omnes inimici mei $ Una hora non potuistis vigilare mecum $ Quid dormitis? $ Seniores populi consilium fecerunt $ Collegerunt Pontifices $ Traditor autem dedit eis signum",,,,,,,,Blatt 5r-9v (von 32 Blatt),,,,,,,,,,,,,,,"Liszt sieht bei ""ad Patrem"" eine Vertonungsvariante vor, die mit den Buchstaben ""(A)"" (roter Stift) an der Einfügestelle markiert ist. Liszt notiert die Varianten für die Responsorien und Verse zu ""Feria V"", ""Feria VI"" und ""Sab. Maj. ad Mat."" separat auf zwei Blatt und verweist mit Einfügemarken und Seitenzahlen auf die entsprechenden Stellen in den Responsorien. Liszt schreibt hier - anders als in dieser Quelle sonst - überwiegend mit schwarzer Tinte statt mit sepia, scheint aber mit sepia begonnen zu haben. Rasur der ursprünglich den Silbenzusammenhalt anzeigenden Bögen, eine kleine Rasur zur Textkorrektur.
Liszt schreibt hier mit schwarzer Tinte. An der Stelle ""et orate"" ist eine Variante vorgesehen, deren Einfügung Liszt mit ""(B)"" (roter Stift) kennzeichnet (vgl. Beschreibung zu ID ""Variantes"").
Rasur der ursprünglich den Silbenzusammenhalt verdeutlichenden Bögen.
Liszt sieht zu diesem Responsorium eine Variante des Schlusses ""se suspendit"" vor, angezeigt durch den Buchstaben ""(C)"" (roter Stift) an der Einfügestelle (vgl. Beschreibung zu ID ""Variantes""). Rasur der ursprünglich den Silbenzusammenhalt verdeutlichenden Bögen.
Im letzten Notensystem des Responsoriums genügt der Platz am rechten Rand nicht. Liszt verlängert die Notenlinien per Hand. 
Zur Textstelle ""adversum me, dicentes"", den Schluss des Verses komponiert Liszt eine alternative Variante, auf die er mit dem Buchstaben ""(D)"" verweist (vgl. Beschreibung zu ID ""Variantes""). Im ersten Notensystem des Verses ist der Platz am rechten Rand zu gering. Liszt verlängert die Notenlinien mit der Hand.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191025,BV,,,,Franz Liszt,,
,1001249800,R 526 | S 30 | J20,Feria VI in Parasceve,D-WRgs,GSA 60/C 14,,,,,,x,1001249771,,,Feria VI in Parasceve,schwarze Tinte,,,,Lateinisch,"Omnes amici mei drelinquerunt me $ Inter iniquos proiecerunt me $ Velum templi scissum est $ Petrae scissae sunt $ Vinea mea electa $ Sepivi te $ Tamquam ad latorem existis cum gladiis $ Cumque iniescissent manus in Jesum $ Tenebarae factae sunt $ Exclamans Jesum voce magna $ Animam meam dilectam $ Insurexerunt in me viri $ Tradiderunt me in manus impiorum  $ Alieni insurexerunt adversum me $ Jesum tradidit impius $ Aduxerunt autem eum $ Caligaverunt oculi mei $ O vos omnes, qui transistis per viam $ Posuerunt super caput eius",,,,,,,,Blatt 11r-16v (von 32 Blatt),,,,,,,,,,,,,,,"Der Notentext ist überwiegend mit schwarzer Tinte geschrieben, nur im letzten Drittel mit sepiafarbener Tinte. Der Gesangstext hingegen ist vollständig mit sepia Tinte geschrieben.
Von Beginn bis zu den Worten ""et fustibus"" komponiert Liszt eine alternative Variante, auf die er mit dem Buchstaben ""(E)"" (roter Stift) verweist (vgl. Beschreibung zu ID ""Variantes""). 
Für den Schluss des Responsoriums verlängert Liszt am rechten Rand die Notenlinien per Hand. 
Am rechten Rand verlängert Liszt im ersten Notensystem des Verses die Notenlinien per Hand.
Liszt komponiert zur Textstelle ""et facta est ..."" eine alternative Variante, auf die er mit dem Buchstaben ""(F)"" (roter Stift) als Einfügemarke verweist (vgl. Beschreibung zu ID ""Variantes""). Ein Auflösungszeichen trägt Liszt mit Rötel nach. Ein Notensystem verlängert er per Hand.
Lediglich eine kleine Streichung (sepia Tinte) fällt auf.
",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191025,BV,,,,Franz Liszt,,
,1001249867,R 526 | S 30 | J20,Sabbato sancto,D-WRgs,GSA 60/C 14,,,,,,x,1001249771,,,Sab|o Maj. Hebd. ad Mat.|am Resp,schwarze Tinte,,,,Lateinisch,"Sicut ovis ad occisionem ductus est $ Tradidit in mortem animam suam $ Jerusalem, surge $ Deduc quasi torrentem lacrimas $ Plange, quasi virgo plebs mea $ Accingite vos, sacerdotes $ Recessit pastor noster $ Destruxit quidem claustra inferni $ O vos omnes qui transistis per viam $ Attendite, universi populi $ Ecce quomodo moritur iustus $ Tamquam agnus coram tondente $ Astiterunt reges terrae $ Quare fremuerunt gentes $ Aestimatus sum cum descendentibus $ Posuerunt me in lacu inferiori $ Sepulto Domino, signatum est monumentum $ Accedentes principes sacerdotum $ Mulieres sedentes ad monumentum",,,,,,,,Blatt 17r-21v (von 32 Blatt),,,,,,,,,,,,,,,"Noten- und Gesangstext sind mit schwarzer Tinte geschrieben. 
Eine Notenzeile verlängert Liszt per Hand am rechten Rand. An derselben Stelle notiert er für die ad libitum zu spielende Orgel einen Fingersatz.
Enthält eine Fingersatzangabe für die ad libitum zu spielende Orgel.
Für die Textpassage ""corde: et viri iusti tolluntur"" komponiert Liszt eine alternative Variante, auf die er mit dem Kürzel ""(G)"" (roter Stift) zur Hinzufügung verweist (vgl. Beschreibung zu ID ""Variantes""). Ein Notensystem verlängert Liszt am rechten Rand per Hand.
Liszt komponiert für die Textstelle ""de angustia, et de iudicio eine Variante, auf die er mit dem Buchstaben ""(H)""zur Einfügung verweist (vgl. Beschreibung zu ID ""Variantes"").
Eine Notenzeile per Hand am rechten Rand verlängert.
Zwei Notensysteme am rechten Rand per Hand verlängert.
Am Schluss der Komposition das Notensystem per Hand verlängert.
",,"Kopftitel: ""o"" bei Sab und ""am""[?] bei Mat. sind hochgestellt",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191025,BV,,,,Franz Liszt,,
,1001350920,R 526 | S 30 | J20,"Variantes ad ""Feria V in coena Domini"", ""Feria VI in Parasceve""et ""Sab. Maj. Hebd.""",D-WRgs,GSA 60/C 14,,,,,,x,1001249771,,,Variantes,schwarze Tinte,,,,,,,,,,,,,Blatt 22r und 23r (von 32 Blatt),,,,,,,,,,,,,,,"Die zwei Seiten enthalten die von Liszt für ""Feria V in coena Domini"", ""Feria VI "" und ""Sab. Maj. Hebd. Mat."" komponierten Varianten unter der jeweiligen Einfügemarke, den Buchstaben (A) bis (H), und der Angabe der Seite (bezogen auf Liszts eigene Paginierung), auf der die Einfügung zu erfolgen hat. ",,Eigentlich eine Sammelquelle? Zuordnungen müssen geprüft werden. ,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191025,BV,,,,Franz Liszt,,
,1001249872,R 526 | S 30 | J20,In officio defunctorum,D-WRgs,GSA 60/C 14,,,,,,x,1001249771,,,In Officio defunctorum,sepia Tinte,,,,Lateinisch,"Credo quod Redemptor meus vivit $ Quem visurus sum ego ipse $ Qui Lazarum resuscitasti  $ Qui venturus es iudicare vivos $ Domine, quando veneris iudicare terram $ Commissa mea pavesco $ Requiem aeternam dona eis, Domine $ Memento mei, Deus $ De profundis clamavi ad te $ Hei mihi, Domine $ Anima mea turbata est valde $ Ne recorderis peccata mea $ Dirige, Domine Deus meus $ Requiem aeternam dona eis, Domine $ Peccantem me quotidie $ Deus in nomine tuo, salvum me fac $ Domine, secundum actum meum $ Amplius lava me, Domine $ Libera me, Domine $ Clamantes et dicentes $ Requiem aeternam dona eis, Domine  $ Libera me, Domine $ Tremens factus sum ego $ Dies irae, dies illa $ Requiem aeternam dona eis, Domine",,,,,,,,Blatt 26r-32r (von 32 Blatt),,,,,,,,,,,,,,,Notensysteme teils am rechten Rand hat Liszt per Hand verlängert.,,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191025,BV,,,,,,
,1001258737,R 12 | S 171a | A111a,Consolations (1. Fassung),D-WRgs,GSA 60/I 21,"Ms I, 21",Liszt-Museum Weimar,Partitur,,x,,,,,Consolations,schwarze Tinte,Kl,,,,,,,,,,"sepia Tinte, Bleistift",[Alexander Wilhelm Gottschalg 116794526] (schwarze Tinte),"9 Blatt zu 4 Bogen und 1 Einzelblatt (1 Titelseite, 13 Seiten Notentext, 3 Leerseiten, paginiert)","Hochformat, 300 x 229 mm, 14 Notenzeilen, gedruckt; Umschlag, Hochformat, 328 x 209 mm",,,,,,,,,,,,"Umschlag: Hochformat, 328 x 209 mm",,"Die Reinschrift von Liszt enthält die erste Fassung der Consolations Nr. 1, 2, 4 und 6, zum Teil mit komplett unterschiedlicher Charakteristik, wesentlich höherem technischen Anspruch und wie bei Nr. 6 anderer Tonart (G-Dur statt E-Dur). Der Nr. 4, die eine Melodie von Maria Pawlowna enthält, ist ein aufwendig gestaltetes Titelblatt vorgeschaltet. Die Sätze Nr. 3 Des-Dur und Nr. 5 E-Dur fehlen in der Quelle, die für Liszts Verhältnisse trotz vieler Striche recht sauber gearbeitet ist. Manuskript weist dennoch viele Flecken (S. 1, 11, 12) auf. ","Notentext weicht v.a. im Bereich der Binnen- und Zwischenpartien z.T. erheblich von der gedruckten Version der NLGA ab. Die Paginierung in der Quelle ist zudem sehr uneinheitlich; so wird S. 7 doppelt gezählt, das Binnen-Titelblatt jedoch nicht, so dass es bei S. 10 mit der Nr. 4 weitergeht [fehlt hier das Stück Nr. 3 in Des-Dur?]. Das letzte Stück ist nur auf der ersten Seite (12) paginiert, sonst nicht.",,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192157,DTie,,,,Franz Liszt,Franz Liszt,
,1001258743,R 12 | S 171a | A111a,"Consolations, Nr. 1 (1. Fassung)",D-WRgs,GSA 60/I 21,,Liszt-Museum Weimar,Partitur,,,x,1001258737,,,Consolations,schwarze Tinte,Kl,,,,,,,,,,sepia Tinte,,Blatt 1r-1v (von 9 Blatt),,,,,,,,,,,,,,,"Beginn wie in Druckfassung, Abweichungen jedoch schon in Takt vier mit dem Eintritt des punktierten Rhythmus.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192157,DTie,,,,Franz Liszt,Franz Liszt,
,1001258745,R 12 | S 171a | A111a,"Consolations, Nr. 2 (1. Fassung)",D-WRgs,GSA 60/I 21,,Liszt-Museum Weimar,Partitur,,,x,1001258737,,,,schwarze Tinte,Kl,,,,,,,,,,sepia Tinte,,Blatt 1v-4v (von 9 Blatt),,,,,,,,,,,,,,,"Ursprünglich plante Liszt eine Wiederholung der ersten sechs Takte, strich sie aber wieder aus (S. 2). Überleitung im Mittelteil von den Akkorden zur Daumenmelodie weicht erheblich von Druckfassung ab, ebenso die virtuosen Tonkaskaden auf S. 6.",,"Kopftitel: nur römisch ""II""",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192157,DTie,,,,Franz Liszt,Franz Liszt,
,1001258746,R 12 | S 171a | A111a,"Consolations, Nr. 4 (1. Fassung)",D-WRgs,GSA 60/I 21,,Liszt-Museum Weimar,Partitur,,,x,1001258737,"Paraphrase | über | ein Thema Ihrer Kaiserlich- Königlichen | Hoheit | der Frau Großherzogin-Großfürstin | Maria Pawlowna, | für das Pianoforte | von | Dr. Franz Lißt | (Componirt 1850)",Gottschalg (schwarze Tinte),,,Kl,,,,,,1850,1850-xx-xx,,,sepia Tinte,[Alexander Wilhelm Gottschalg 116794526] (schwarze Tinte),Blatt 5r-7v (von 9 Blatt),,,,,,,,,,,,,,,"Die Melodie bleibt gleich, allerdings ist sie in dieser Fassung nicht akkordisch, sondern mit Mittelstimmen gesetzt. Hinzu kommen Arpeggien ab dem 5. System. Ambitus und Klangfülle sind wesentlich breiter als in der Druckfassung.",,"Titelei: Raabe (Bleistift) ""M Erste Fassung d. Consolation 4!""
Datierung: Titelumschlag von Gottschalg",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192157,DTie,,,,,Franz Liszt,
,1001258747,R 12 | S 171a | A111a,"Consolations, Nr. 6 (1. Fassung)",D-WRgs,GSA 60/I 21,,Liszt-Museum Weimar,Partitur,,,x,1001258737,,,in As (?),Bleistift,Kl,,,,,,,,,,"sepia Tinte, Bleistift",,Blatt 8r-9v (von 9 Blatt),,,,,,,,,,,,,,,"Die Tonart ist in dieser ersten Fassung noch G-Dur, zudem ist der Rhythmus nicht so scharf zugespitzt wie in der Druckfassung, Taktart hier noch 3/4 statt 3/8. Über dem Notentext ist mit Bleistift ""in Ces (?)"" von Liszt? geschrieben. Der weitere Verlauf weicht deutlich ab, relativ große Striche auf den letzten beiden Seiten.",,,https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:192157,DTie,,,,,Franz Liszt,
,,R 489 | S 13/1 | I3,Der 13te Psalm,A-Wn,Mus.Hs.41952,A/Liszt/21,Musiksammlung ÖNB,Partitur,,,,,,,Orgelpart | zu Psalm XIII,schwarze Tinte,Org,,,,,[H. I. I. Van Bree 1132516730] | avec mille affection y [&] | remerciemens pour le Directeur | de ce Premier 25 Avril 66 | à Amsterdam,"Rome 24 Mai 65. | Vatican. $
25 Avril 66 | à Amsterdam","1865-05-24 $
1866-04-25","Vatikan $
Amsterdam","4062404-3 $
4001783-7","schwarze und sepia Tinte, Bleistift",,"4 Blatt zu 2 Bogen (6 Seiten Notentext, 2 Leerseiten, paginiert)","Hochformat, 332 x 242 mm, 32 Notenzeilen, gedruckt",,,,,,,,,,,,,,"Es handelt sich um einen Auszug der Orgelstimme, der von Liszt sauber mit Tinte notiert ist, allerdings ohne den Text. Entsprechende Tacet-Abschnitte werden schriftlich festgehalten. Sporadisch nimmt Liszt Rasuren vor, notiert teilweise Fingersätze (wie auf S. 2) und zählt ab und zu Takte mit Bleistift (ebenfalls S. 2)",,"Widmung: Anrede/Abkürzung noch einmal im Digitalisat überprüfen, geschrieben mit sepiafarbener Tinte, durch die doppelte Datierung lässt sich schließen, dass das Widmungsgeschenk später erfolgte

Datierung mit schwarzer Tinte geschrieben

Vgl. Ramann 1880, Bd. 2: S. 358.

Hinweis Liszt: ""(die Tempo Bezeichnungen wie in der Partitur - """,https://onb.digital/result/1003DE0D,DTie,,,,Franz Liszt,Franz Liszt,
,1001310266,R 581b | S 305/2 | N35,"Schwebe, schwebe, blaues Auge",D-WRgs,GSA 60/D 48,"Ms D, 48",,Partitur,,,,,,,"""Schwebe, schwebe, blaues Auge""",schwarze Tinte,"Singst, Kl",Mäßig bewegt,,Deutsch,"Schwebe, schwebe blaues Auge",,,,,,"schwarze Tinte, roter Stift",,"3 Blatt zu 1 Bogen und 1 Einzelblatt, 4 Seiten Notentext)","Querformat, 209 x 332 mm, 14 Notenzeilen, handrastriert, unten abgeschnitten; gelöste Überklebung Blatt 1r a, Querformat, 32 x 299 mm, 2 Notenzeilen, handrastriert; Überklebung Blatt 1v a, 90 x 322 mm, 7 Notenzeilen, handrastriert",,,,,,,,,,,,,,"Liszt streicht die Tempobezeichnung Andante (helle schwarze Tinte) mit dunkler schwarzer Tinte doppelt durch und notiert darüber ""Mäßig bewegt"". Die im 3/4-Takt notierten 10 Einleitungstakte der Klavierbegleitung in Achteln werden ebenfalls gestrichen und durch 3 Takte mit einer Achteltriole Auftakt im 4/4-Takt ersetzt. Auf [Blatt 1v] wird der letzte Takt im 1. System und der 1. Takt im 2. System gestrichten und ein Takt am Rand des 2. Systems neu notiert. Das 3. und 4. System wird komplett überklebt und durch 10 neue Takte ersetzt, wobei der 8. Takt [Blatt 1v a] ebenfalls gestrichen wird. Auf [Blatt 2r] werden die ersten 8 Takte mit rotem Stift gestrichen.",Digitalisat des Notentextes: https://haab-digital.klassik-stiftung.de/viewer/image/1499930186/20/LOG_0009/,"Kopftitel: am linken Rand ist mit rotem Stift ""Nr. 17."" notiert",https://ores.klassik-stiftung.de/ords/f?p=401:2:::::P2_ID:191505,UR,,,,Franz Liszt,Franz Liszt,
,,R 538 | S 68 | L12,Zur Säkularfeier Beethovens,A-Wn,Mus.Hs.42683,,Musiksammlung ÖNB,Partitur,Stichvorlage,,,,Franz Liszt | Zur Säkular - Feier Beethoven | Weimar 1869,,,,"GCh (SSATB), Kl",Allegro. Sehr ruhig,,Deutsch,"Sternenschimmernde, eisenflimmernde Winternacht",,1869,1869-xx-xx,Weimar,4065105-8,"schwarze Tinte, roter und blauer Stift, Bleistift",,"19 Blatt (Einband, 36 Seiten Notentext, 2 Leerseiten, paginiert und foliiert)","Querformat, 270 x 354 mm, 16 Notenzeilen, handrastriert, Blatt 1-6; Querformat, 240 x 310 mm, 12 Notenzeilen, handrastriert, Blatt 7-19; Überklebung S. 2a, Querformat, 34 x 310 mm, 3 Notenzeilen, handrastriert",,,,,,,,,,,,"Einband: 278 x 365 mm, Karton",,"Offenbar Stichvorlage, da Liszt gleich über dem ersten System folgendes notiert: ""(NB. den Chor auf drei Zeilen ausschreiben - Sopran und Alt, Tenor, - und Bässe. Im Tenor dieselben Noten wie im Sopran."" Es handelt sich um einen Klavierauszug, sämtliche Takte sind durchnummeriert (bis T. 538 (inklusive Fehlerkorrektur bei der Zählung). Das Autograph besteht aus zwei unterschiedlichen Papieren, die in der Quelle zusammengebunden sind. S. 2 Striche mit rotem Stift sowie fehlende Überklebung der Singstimme (an Siegellack zu erkennen), des Weiteren Überklebung im dritten Notensystem (T. 47-54). Akkoladen sind mit blauem Stift nachgezeichnet. Manuskript ist sehr sorgfältig hergestellt, sporadisch finden sich Rasuren und Streichungen mit blauem Stift (wie auf S. 8 und 9). Am Ende des ersten Papierformats notiert Liszt mit blauem Stift ""V. A. | weiter | Seite 13."" Das zweite Format ist wesentlich kleiner, aber ebenso sorgfältig gestaltet. Wenige Korrekturen und Hinweise mit blauem Stift sowie Rasuren. S. 37 [mit rotem Stift, zinnober notiert] Korrektur der Seitenzahl mit blauem Stift auf 35. Auf derselben Seite befand sich eine Überklebung, die aber in der Quelle fehlt (an vier Siegellack-Klecksen zu erkennen). Weitere Seitenzählung bis 39, auf 37 korrigiert.",,"Titelei: Gedrucktes Titelblatt, Zusatz: Teilautograph

Datierung: Komponiert in [Weimar 4065105-8]",https://onb.digital/result/10045D93,DTie,,,,,Franz Liszt,
