,Absender Person,Absender Person Edition,GND Absender Person,Absender Körperschaft,Absender Körperschaft Edition,GND Absender Körperschaft,Adressat Person,Adressat Person Edition,GND Adressat Person,Adressat Körperschaft,Adressat Körperschaft Edition,GND Adressat Körperschaft,Absendeort,Absendeort Edition,Absendeort_GND,Empfangsort,Empfangsort Edition,Empfangsort_GND,Datierung,Datierung ermittelt,Datierung Kommentar [intern],Incipit [nur in schwierig datierbaren Fällen],Standort,Signatur,Digitalisat,Datierung (standardisiert),Datierung maschinenlesbar Teil 1,Datierung maschinenlesbar Teil 2,Datierung Checkbox,Sigle / Kurztitel,Weitere Editionen,zu überarbeiten,Kommentar (intern),Bemerkungen,Besitzer (nach Edition),Datierung (nach Edition),Werkerwähnung (I),Entstehung (I),Quellentransfer (I),Aufführungen (I),Seite (I),WVZ (Raabe) (I),Werktitel (I),Kommentar (intern) (I),Erwähnung auf Werk- oder Quellenebene (I),Werkerwähnung (II),Entstehung (II),Quellentransfer (II),Aufführungen (II),Seite (II),WVZ (Raabe) (II),Werktitel (II),Kommentar (intern) (II),Erwähnung auf Werk- oder Quellenebene (II),Werkerwähnung (III),Entstehung (III),Quellentransfer (III),Aufführungen (III),Seite (III),WVZ (Raabe) (III),Werktitel (III),Kommentar (intern) (III),Erwähnung auf Werk- oder Quellenebene (III),Werkerwähnung (IV),Entstehung (IV),Quellentransfer (IV),Aufführungen (IV),Seite (IV),WVZ (Raabe) (IV),Werktitel (IV),Kommentar (intern) (IV),Erwähnung auf Werk- oder Quellenebene (IV),Werkerwähnung (V),Entstehung (V),Quellentransfer (V),Aufführungen (V),Seite (V),WVZ (Raabe) (V),Werktitel (V),Kommentar (intern) (V),Erwähnung auf Werk- oder Quellenebene (V),Werkerwähnung (VI),Entstehung (VI),Quellentransfer (VI),Aufführungen (VI),Seite (VI),WVZ (Raabe) (VI),Werktitel (VI),Kommentar (intern) (VI),Erwähnung auf Werk- oder Quellenebene (VI),Werkerwähnung (VII),Entstehung (VII),Quellentransfer (VII),Aufführungen (VII),Seite (VII),WVZ (Raabe) (VII),Werktitel (VII),Kommentar (intern) (VII),Erwähnung auf Werk- oder Quellenebene (VII),Werkerwähnung (VIII),Entstehung (VIII),Quellentransfer (VIII),Aufführungen (VIII),Seite (VIII),WVZ (Raabe) (VIII),Werktitel (VIII),Kommentar (intern) (VIII),Erwähnung auf Werk- oder Quellenebene (VIII),Werkerwähnung (IX),Entstehung (IX),Quellentransfer (IX),Aufführungen (IX),Seite (IX),WVZ (Raabe) (IX),Werktitel (IX),Kommentar (intern) (IX),Erwähnung auf Werk- oder Quellenebene (IX),Werkerwähnung (X),Entstehung (X),Quellentransfer (X),Aufführungen (X),Seite (X),WVZ (Raabe) (X),Werktitel (X),Kommentar (intern) (X),Erwähnung auf Werk- oder Quellenebene (X),Werkerwähnung (XI),Entstehung (XI),Quellentransfer (XI),Aufführungen (XI),Seite (XI),WVZ (Raabe) (XI),Werktitel (XI),Kommentar (intern) (XI),Erwähnung auf Werk- oder Quellenebene (XI)
11,"Liszt, Franz","Liszt, Franz",118573527,,,,"Liszt, Maria Anna","Liszt, Maria Anna",123449324,,,,[Genf],[Genf],4020137-5,,,,07.12.1835,,,,,,,07.12.1835,07.12.1835,07.12.1835,nach Edition,Hamburger 2000b,,,,,,[7 décembre 1835],le morceau de la Juive,x,x,,86, R 170,Réminiscences de La Juive,"Liszts Mutter soll erneut bei Schlesinger wegen des Stücks nachfragen; ""Envoyez le moi sans aucun retard par la Diligence; [...]""; ""Mais avant tout il me faut le Morceau de la Juive."", ""Soignez bien l'envoi du morceau.""",W | Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Liszt, Franz","Liszt, Franz",118573527,,,,"Montgolfier, Jenny","Montgolfier, Jenny",105283986X,,,,[Genf],[Genf],4020137-5,Lyon,Lyon,4036770-8,18.04.1836,,,,,,,18.04.1836,18.04.1836,18.04.1836,nach Edition,"La Mara 1905, S. 10-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Moscheles, Ignaz","Moscheles, Ignaz",118785028,,,,"Liszt, Franz","Liszt, Franz",118573527,,,,London,London,4074335-4,Mailand,Mailand,4037100-1,11.12.1837,,,,,,,11.12.1837,11.12.1837,11.12.1837,nach Edition,La Mara 1895a,,,,,,,vos arrangements de Symphonies de Beethoven,x,,,12,R 128,Symphonies de Beethoven. Partitions de Piano,"""J'attends avec le plus vif intérêt la publication de vos arrangements de Symphonies de Beethoven et de votre morceau original"".",W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Liszt, Franz","Liszt, Franz",118573527,,,,"de Lamennais, F[élicité]","de Lamennais, F[élicité]",118568930,,,,Como,Como,4085313-5,,,,18.12.1837,,,,,,,18.12.1837,18.12.1837,18.12.1837,nach Edition,"La Mara 1893a, S. 16-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Liszt, Franz","Liszt, Franz",118573527,,,,,,,Breitkopf & Härtel,Breitkopf & Härtel,64766-4,Venedig,Venedig,4062501-1,Leipzig,Leipzig,4035206-7,05.04.1838,,,,,,,05.04.1838,05.04.1838,05.04.1838,nach Edition,"La Mara 1893a, S. 17-18",,,,Sendeort selbst ergänzt,Kammervirtuos Hermann Scholtz in Dresden,,3 Symphonies,x,,,17f,R 128,"Symphonies de Beethoven. Partitions de Piano (III, IV, V, VI)","Liszt entwirft Plan für ein Arrangement der ""4 Symphonies les plus importantes"".",W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Liszt, Franz","Liszt, Franz",118573527,,,,,,,Gesellschaft der Musikfreunde,Gesellschaft der Musikfreunde,1005067-X,Venedig,Venedig,4062501-1,Wien,Wien,4066009-6,01.06.1838,,,,,,,01.06.1838,01.06.1838,01.06.1838,nach Edition,"La Mara 1893a, S. 20-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Liszt, Franz","Liszt, Franz",118573527,,,,,,,Breitkopf & Härtel,Breitkopf & Härtel,64766-4,,,,Leipzig,Leipzig,4035206-7,15.07.1838,,,,,,,15.07.1838,15.07.1838,15.07.1838,nach Edition,La Mara 1905,,,Je n'ai que des remerciements à vous faire ,,,"[15. Juli 1838.]
Angabe des Empfängers",deux symphonies,x,,,18,R 128/5-6,Symphonies de Beethoven. Partitions de Piano,"Bespricht Druck und Herausgabe der V. und VI. Symphonie Beethovens, sorgt sich aufgrund einer langen (Konzert)Reise um die Schwierigkeiten der Zusendung der Korrekturen.",W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Liszt, Franz","Liszt, Franz",118573527,,,,"Löwy, Simon","Löwy, Simon",134966202X,,,,Mailand,Mailand,4037100-1,Wien,Wien,4066009-6,22.09.1838,,,,,,,22.09.1838,22.09.1838,22.09.1838,nach Edition,"La Mara 1893a, S. 21-22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Liszt, Franz","Liszt, Franz",118573527,,,,"Aubry, Francois","Aubry, François",RD,,,,[Rom],[Rom],4050471-2,Paris,Paris,4044660-8,1886-01-xx,,,,,,,01.1886,1886-01-01,1886-01-31,"nach Edition, unsicher",La Mara 1905,,x,Sincères remercîments pour votre bienveillante lettre.,Datierung prüfen: nach Vorlage/Edition?,,[Mitte Januar 1886.],Messe de Gran,,,x,418f,R 484,Missa solennis zur Einweihung der Basilika in Gran,"Vorbereitungen der Aufführungen der Messe am 25. März 1886. Liszt erinnert an die Aufführung 20 Jahre zuvor. Zwei Anmerkungen: Bedauern, dass nach wie vor keine Frauen in St. Eustache singen dürfen sowie Positionierung des Orchesters in der Kirche. Vertraut Colonne und sagt seine Anwesenheit für Mitte März zu. ",W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Liszt, Franz","Liszt, Franz",118573527,,,,"Schlesinger, Maurice","Schlesinger, Maurice",11732633X,Maurice Schlesinger,Maurice Schlesinger,1326350692,Florenz,Florenz,4017581-9,Paris,Paris,4044660-8,16.11.1838,,,,,,,16.11.1838,16.11.1838,16.11.1838,nach Edition,"La Mara 1905, S. 19-20",,,,,Charles Malherbe in Paris,,les Etudes au complet,x,,,20,R 3a [?],Etudes d'exécution transcendante d'après Paganini,"""Dans peu de jours vous recevrez les Etudes au complet."" Erschienen sind die 1840 laut MGG in Paris jedoch bei Schonenberger.",W,"Les Chants du Cygne, de Schubert",x,,,20,R 245,Schwanengesang (Chant du Cygne),"""Les Chants du Cygne, de Schubert viendront bientôt après."" Laut MGG erschien bei Schlesinger jedoch nur die Nr. 3, ""Aufenthalt"".",W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Liszt, Franz","Liszt, Franz",118573527,,,,,,,Breitkopf & Härtel,Breitkopf & Härtel,64766-4,Florenz,Florenz,4017581-9,Leipzig,Leipzig,4035206-7,03.01.1839,,,,,,,03.01.1839,03.01.1839,03.01.1839,nach Edition,"La Mara 1893a, S. 23-24",,,,,Archiv der Firma,,ces malheureuses Symphonies,,x,,23,R 128,"Symphonies de Beethoven. Partitions de Piano (V, VI)","Korrekturen, ""il est essentiel que j'en corrige la dernière épreuve"".",Q,Lieder de Beethoven,x,,,24,[R 121 ?],[Beethoven’s Adelaide für das Pianoforte übertragen ?],"Erwähnung in Zusammenhang mit den Korrekturen zu den Beethoven-Symphonien, möglicherweise handelt es sich um die Adelaïde.",W,Leyer und Schwert,x,,,24,R 285,Leyer und Schwert,Erwähnung in Zusammenhang mit den Korrekturen zu den Beethoven-Symphonien.,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Liszt, Franz","Liszt, Franz",118573527,,,,"Liszt, Maria Anna","Liszt, Maria Anna",123449324,,,,Florenz,Florenz,4017581-9,,,,08.01.1839,,,,,,,08.01.1839,08.01.1839,08.01.1839,nach Edition,La Mara 1918,,,,,,,[Berloz'] Requiem,,x,,50,,,"bittet Mutter, Berlioz ""den Subskriptionspreis für sein Requiem"" zu zahlen",W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Liszt, Franz","Liszt, Franz",118573527,,,,,,,Giovanni Ricordi,Giovanni Ricordi,RD,Rom,Rom,4050471-2,Mailand,Mailand,4037100-1,18.03.1839,,,,,,,18.03.1839,18.03.1839,18.03.1839,nach Edition,La Mara 1905,,,Ecco les 200 francs pour Sachero,,Etienne Charavay in Paris,"[18 Maggio 1839.]
Angabe des Empfängers",deux symphonies de Beethoven,x,x,,20,R 128/5-6,Symphonies de Beethoven. Partitions de Piano,"Sendet die ""épreuves"" der beiden Beethoven-Symphonie-Arrangements. ""Dans l'une (la symphonie pastorale) il y a une feuille de corrections écrites.""",W | Q,Soirées italiennes,x,,,20,R 220,Soirées italiennes (6 amusements pour piano sur des motifs de Mercadante),"""Faire mes plus affectueux compliments à Mercadante et lui envoyer un exemplaire des Soirées intaliennes que j'ai transcrites.""",W,Lieder de Schubert,x,,,20f,R 243,Lieder von Schubert,"Liszt bittet um alternativen Titel der Lieder de Schubert, ""Etudes mélodiques d'après Schubert, par F. Liszt"". Die 12 Lieder erschienen laut MGG jedoch nicht bei Ricordi [?].",W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Liszt, Franz","Liszt, Franz",118573527,,,,"Belgiojoso, Christine","Belgiojoso, Christine",119195860,,,,Albano,Albano,RD,Paris,Paris,4044660-8,04.06.1839,,,,,,,04.06.1839,04.06.1839,04.06.1839,nach Edition,"La Mara 1893a, S. 24-26",,,,,Alfred Bovet in Valentigney,,Ouverture de Guillaume Tell,,,x,25,R 237,Ouverture Guillaume Tell,Konzertentwurf von Liszt.,W,Réminiscences des Puritains,,,x,25,R 129,Réminiscences des Puritains de Bellini,Teil eines Konzertentwurfs von Liszt.,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Liszt, Franz","Liszt, Franz",118573527,,,,"d'Ortigue, Joseph","d'Ortigue, Joseph",119499819,,,,Rom,Rom,4050471-2,,,,04.06.1839,,,,,,,04.06.1839,04.06.1839,04.06.1839,nach Edition,"La Mara 1905, S. 21-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Liszt, Franz","Liszt, Franz",118573527,,,,"Schumann, Robert","Schumann, Robert",118611666,,,,Albano,Albano,RD,,,,05.06.1839,,,,,,,05.06.1839,05.06.1839,05.06.1839,nach Edition,"La Mara 1893a, S. 26-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Liszt, Franz","Liszt, Franz",118573527,,,,,,,Beethoven-Comité,Beethoven-Comité,RD,Pisa,Pisa,4046151-8,Bonn,Bonn,4007666-0,03.10.1839,,,,,,,03.10.1839,03.10.1839,03.10.1839,nach Edition,"La Mara 1893a, S. 30-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Liszt, Franz","Liszt, Franz",118573527,,,,"Festetics, Leo","Festetics, Leo",1351487590,,,,,,,Pest,Pest,4137172-0,24.11.1839,,,,,,,24.11.1839,24.11.1839,24.11.1839,nach Edition,"La Mara 1893a, S. 31-32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
